('rust:cpufeatures', '0.2.12')
('rust:sentry-backtrace', '0.34.0')
('rust:rustc_version', '0.4.0')
('rust:regex-automata', '0.4.7')
('rust:email-encoding', '0.3.0')
('rust:rss', '2.0.8')
('rust:aead', '0.5.2')
('rust:email_address', '0.2.5')
('rust:terminal_size', '0.3.0')
('rust:const-oid', '0.9.6')
('rust:flate2', '1.0.30')
('rust:utf-8', '0.7.6')
('rust:stacker', '0.1.15')
('rust:pkg-config', '0.3.30')
('rust:tracing', '0.1.40')
('rust:chumsky', '0.9.3')
('rust:windows_x86_64_gnullvm', '0.52.6')
('rust:derive_builder_core', '0.20.0')
('rust:humantime', '2.1.0')
('rust:wasm-bindgen-futures', '0.4.42')
('rust:wasm-bindgen-macro', '0.2.92')
('rust:want', '0.3.1')
('rust:percent-encoding', '2.3.1')
('rust:system-configuration-sys', '0.5.0')
('rust:psm', '0.1.21')
('rust:derive_builder', '0.20.0')
('rust:futures-core', '0.3.30')
('rust:dotenvy', '0.15.7')
('rust:http', '1.1.0')
('rust:axum-core', '0.4.3')
('rust:is-terminal', '0.4.12')
('rust:libz-sys', '1.1.18')
('rust:deadpool-diesel', '0.6.1')
('rust:overload', '0.1.1')
('rust:lazy_static', '1.5.0')
('rust:base16ct', '0.2.0')
('rust:brotli-decompressor', '4.0.1')
('rust:async-trait', '0.1.81')
('rust:tokio-native-tls', '0.3.1')
('rust:clap_derive', '4.5.8')
('rust:security-framework-sys', '2.11.1')
('rust:sentry', '0.34.0')
('rust:indicatif', '0.17.8')
('rust:wasi', '0.11.0+wasi-snapshot-preview1')
('rust:windows_aarch64_msvc', '0.48.5')
('rust:schannel', '0.1.23')
('rust:tikv-jemallocator', '0.6.0')
('rust:pest_derive', '2.7.11')
('rust:uname', '0.1.1')
('rust:brotli', '6.0.0')
('rust:idna', '0.5.0')
('rust:universal-hash', '0.5.1')
('rust:ctr', '0.9.2')
('rust:time-macros', '0.2.18')
('rust:axum', '0.7.5')
('rust:once_cell', '1.19.0')
('rust:sync_wrapper', '0.1.2')
('rust:rustc-hash', '1.1.0')
('rust:parking_lot_core', '0.9.10')
('rust:generic-array', '0.14.7')
('rust:form_urlencoded', '1.2.1')
('rust:num-bigint', '0.4.6')
('rust:foreign-types', '0.3.2')
('rust:html5ever', '0.27.0')
('rust:os_info', '3.8.2')
('rust:aes-gcm', '0.10.3')
('rust:anstyle-parse', '0.2.4')
('rust:sentry-panic', '0.34.0')
('rust:windows_x86_64_msvc', '0.48.5')
('rust:http-range-header', '0.4.1')
('rust:signature', '2.2.0')
('rust:redox_syscall', '0.5.2')
('rust:num_cpus', '1.16.0')
('rust:ipnetwork', '0.20.0')
('rust:num-traits', '0.2.19')
('rust:pest', '2.7.11')
('rust:subtle', '2.6.1')
('rust:aws-smithy-xml', '0.60.8')
('rust:clap_lex', '0.7.1')
('rust:migrations_macros', '2.2.0')
('rust:zip', '2.1.3')
('rust:zstd-safe', '7.2.0')
('rust:anstyle-query', '1.1.0')
('rust:crypto-bigint', '0.5.5')
('rust:tower', '0.4.13')
('rust:aws-credential-types', '1.2.0')
('rust:zerocopy-derive', '0.7.35')
('rust:mime', '0.3.17')
('rust:mac', '0.1.1')
('rust:scheduled-thread-pool', '0.2.7')
('rust:backtrace', '0.3.73')
('rust:native-tls', '0.2.12')
('rust:darling', '0.20.10')
('rust:aws-sdk-cloudfront', '1.37.0')
('rust:windows_i686_gnu', '0.48.5')
('rust:parking_lot', '0.12.3')
('rust:winapi', '0.3.9')
('rust:bumpalo', '3.16.0')
('rust:bitflip', '0.1.0')
('rust:rustls', '0.21.12')
('rust:aws-smithy-json', '0.60.7')
('rust:aws-smithy-http', '0.60.9')
('rust:ureq', '2.10.0')
('rust:tinyvec', '1.8.0')
('rust:rayon', '1.10.0')
('rust:caseless', '0.2.1')
('rust:insta', '1.39.0')
('rust:fastrand', '2.1.0')
('rust:csv', '1.3.0')
('rust:deunicode', '1.6.0')
('rust:redox_syscall', '0.4.1')
('rust:sct', '0.7.1')
('rust:new_debug_unreachable', '1.0.6')
('rust:nu-ansi-term', '0.46.0')
('rust:strsim', '0.11.1')
('rust:signal-hook-registry', '1.4.2')
('rust:hkdf', '0.12.4')
('rust:phf_shared', '0.10.0')
('rust:derive_arbitrary', '1.3.2')
('rust:aws-runtime', '1.3.1')
('rust:syn', '1.0.109')
('rust:string_cache', '0.8.7')
('rust:globset', '0.4.14')
('rust:tracing-serde', '0.1.3')
('rust:version_check', '0.9.4')
('rust:hyper', '0.14.30')
('rust:time-core', '0.1.2')
('rust:quinn', '0.11.2')
('rust:darling_macro', '0.20.10')
('rust:cargo-manifest', '0.15.0')
('rust:pem-rfc7468', '0.7.0')
('rust:core-foundation-sys', '0.8.6')
('rust:p256', '0.13.2')
('rust:axum-extra', '0.9.3')
('rust:rustls-pemfile', '1.0.4')
('rust:httpdate', '1.0.3')
('rust:hyper', '1.4.1')
('rust:csv-core', '0.1.11')
('rust:semver', '1.0.23')
('rust:fragile', '2.0.0')
('rust:tracing-log', '0.2.0')
('rust:windows_aarch64_gnullvm', '0.48.5')
('rust:rustls-pemfile', '2.1.2')
('rust:phf_generator', '0.11.2')
('rust:http-body-util', '0.1.2')
('rust:criterion', '0.5.1')
('rust:walkdir', '2.5.0')
('rust:allocator-api2', '0.2.18')
('rust:aws-ip-ranges', '0.731.0')
('rust:miniz_oxide', '0.7.4')
('rust:webpki-roots', '0.25.4')
('rust:addr2line', '0.22.0')
('rust:httparse', '1.9.4')
