('npm:jayson', '2.1.2')
('npm:is-resolvable', '1.1.0')
('npm:json-buffer', '2.0.11')
('npm:has', '1.0.3')
('npm:resolve-from', '1.0.1')
('npm:har-validator', '5.1.3')
('npm:supports-color', '2.0.0')
('npm:memory-pager', '1.5.0')
('npm:on-headers', '1.0.2')
('npm:lodash._stringtopath', '4.8.0')
('npm:loopback-phase', '3.3.0')
('npm:prepend-http', '1.0.4')
('npm:glob', '7.1.6')
('npm:@types/node', '10.17.16')
('npm:buffer-shims', '1.0.0')
('npm:loopback-connector-remote', '3.4.1')
('npm:ci-info', '1.6.0')
('npm:mongodb', '3.5.4')
('npm:querystring-browser', '1.0.4')
('npm:es6-promise', '4.2.8')
('npm:json-stringify-safe', '5.0.1')
('npm:map-age-cleaner', '0.1.3')
('npm:merge-descriptors', '1.0.1')
('npm:is-path-inside', '1.0.1')
('npm:basic-auth', '2.0.1')
('npm:is-npm', '1.0.0')
('npm:bson', '1.1.3')
('npm:finalhandler', '1.1.2')
('npm:get-stream', '4.1.0')
('npm:string-width', '1.0.2')
('npm:es-abstract', '1.17.4')
('npm:levn', '0.3.0')
('npm:jsonparse', '1.3.1')
('npm:loopback-connector-mongodb', '5.2.2')
('npm:json-stable-stringify', '1.0.1')
('npm:statuses', '1.5.0')
('npm:duplexer3', '0.1.4')
('npm:acorn', '5.7.3')
('npm:call-me-maybe', '1.0.1')
('npm:underscore.string', '3.3.5')
('npm:forever-agent', '0.6.1')
('npm:fast-safe-stringify', '2.0.7')
('npm:is-typedarray', '1.0.0')
('npm:ansi-escapes', '1.4.0')
('npm:semver', '5.7.1')
('npm:xmlbuilder', '11.0.1')
('npm:nodemon', '2.0.2')
('npm:event-emitter', '0.3.5')
('npm:yenepaysdk', '1.1.6')
('npm:capture-stack-trace', '1.0.1')
('npm:anymatch', '3.1.1')
('npm:cross-spawn', '6.0.5')
('npm:media-typer', '0.3.0')
('npm:path-is-inside', '1.0.2')
('npm:verror', '1.10.0')
('npm:raw-body', '2.4.0')
('npm:end-of-stream', '1.4.4')
('npm:color-name', '1.1.3')
('npm:string.prototype.trimright', '2.1.1')
('npm:abbrev', '1.1.1')
('npm:cldrjs', '0.5.1')
('npm:bluebird', '3.7.2')
('npm:color-convert', '1.9.3')
('npm:picomatch', '2.2.1')
('npm:p-defer', '1.0.0')
('npm:is-number', '7.0.0')
('npm:lodash.some', '4.2.0')
('npm:nodemailer-shared', '1.1.0')
('npm:encoding', '0.1.12')
('npm:dashify', '0.2.2')
('npm:nodemailer-direct-transport', '3.3.2')
('npm:js-yaml', '3.13.1')
('npm:mongodb-core', '2.1.20')
('npm:next-tick', '1.0.0')
('npm:commondir', '1.0.1')
('npm:http-status', '1.4.2')
('npm:yallist', '2.1.2')
('npm:nocache', '1.0.0')
('npm:on-finished', '2.3.0')
('npm:lodash.isstring', '4.0.1')
('npm:is-extglob', '2.1.1')
('npm:path-is-absolute', '1.0.1')
('npm:nodemailer-fetch', '1.6.0')
('npm:process-nextick-args', '2.0.1')
('npm:ipaddr.js', '1.9.1')
('npm:is-arguments', '1.0.4')
('npm:lcid', '3.1.1')
('npm:entities', '1.1.2')
('npm:deep-equal', '1.1.1')
('npm:to-utf8', '0.0.1')
('npm:global-dirs', '0.1.1')
('npm:@types/connect', '3.4.33')
('npm:isarray', '1.0.0')
('npm:delayed-stream', '1.0.0')
('npm:negotiator', '0.6.2')
('npm:lodash._baseeach', '4.1.3')
('npm:loopback-swagger', '3.0.3')
('npm:formidable', '1.2.2')
('npm:swagger-methods', '1.0.8')
('npm:readline2', '1.0.1')
('npm:escope', '3.6.0')
('npm:circular-json', '0.3.3')
('npm:methods', '1.1.2')
('npm:loopback-connector', '4.10.1')
('npm:object-assign', '4.1.1')
('npm:strip-ansi', '3.0.1')
('npm:string.prototype.trimleft', '2.1.1')
('npm:resolve-from', '2.0.0')
('npm:base64-js', '1.0.2')
('npm:jsonify', '0.0.0')
('npm:connect', '3.4.1')
('npm:vary', '1.1.2')
('npm:json-schema-ref-parser', '1.4.1')
('npm:mimic-fn', '2.1.0')
('npm:table', '3.8.3')
('npm:lodash.keys', '4.2.0')
('npm:accept-language', '3.0.18')
('npm:uuid', '3.4.0')
('npm:eslint-config-loopback', '8.0.0')
('npm:prelude-ls', '1.1.2')
('npm:concat-stream', '1.6.2')
('npm:send', '0.17.1')
('npm:ajv-keywords', '1.5.1')
('npm:chokidar', '3.3.1')
('npm:uri-js', '4.2.2')
('npm:has-flag', '3.0.0')
('npm:core-js', '2.6.11')
('npm:isemail', '2.2.1')
('npm:nanoid', '2.1.11')
('npm:update-notifier', '2.5.0')
('npm:toposort', '2.0.2')
