('npm:call-bind', '1.0.7')
('npm:abbrev', '1.1.1')
('npm:symbol-tree', '3.2.4')
('npm:@babel/helper-function-name', '7.24.7')
('npm:color-convert', '1.9.3')
('rubygems:chunky_png', '1.4.0')
('npm:@sinonjs/commons', '2.0.0')
('npm:escape-string-regexp', '1.0.5')
('rubygems:simplecov_json_formatter', '0.1.4')
('npm:safe-regex-test', '1.0.3')
('npm:@babel/plugin-transform-numeric-separator', '7.24.7')
('npm:wide-align', '1.1.5')
('rubygems:resque-scheduler', '4.10.2')
('npm:yallist', '4.0.0')
('npm:@jest/transform', '29.7.0')
('npm:supports-color', '8.1.1')
('npm:classnames', '2.3.1')
('npm:flat', '5.0.2')
('npm:strip-bom', '4.0.0')
('npm:is-number', '7.0.0')
