('go:github.com/jpillora/backoff', '1.0.0')
('go:github.com/oklog/ulid', '1.3.1')
('go:github.com/hashicorp/golang-lru/v2', '2.0.7')
('npm:json-parse-better-errors', '1.0.2')
('go:github.com/lib/pq', '1.10.9')
('go:github.com/go-openapi/strfmt', '0.23.0')
('npm:has-flag', '3.0.0')
('npm:p-locate', '4.1.0')
('go:github.com/oklog/run', '1.1.0')
('npm:decamelize', '1.2.0')
('go:github.com/stretchr/testify', '1.9.0')
('go:github.com/prometheus/client_model', '0.6.1')
('go:github.com/thanos-io/objstore', '0.0.0-20240622095743-1afe5d4bc3cd')
('actions:ossf/scorecard-action', '0864cf19026789058feabb7e87baa5f140aac736')
('go:github.com/go-logr/logr', '1.4.2')
('go:github.com/Azure/azure-sdk-for-go/sdk/azcore', '1.11.1')
('go:go.uber.org/multierr', '1.11.0')
('go:go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp', '0.52.0')
('go:github.com/benbjohnson/clock', '1.3.5')
('go:github.com/modern-go/concurrent', '0.0.0-20180306012644-bacd9c7ef1dd')
('go:github.com/Azure/azure-sdk-for-go/sdk/storage/azblob', '1.3.0')
('go:github.com/Masterminds/squirrel', '1.5.4')
('go:github.com/sean-/seed', '0.0.0-20170313163322-e2103e2c3529')
('go:github.com/mattn/go-colorable', '0.1.13')
('npm:cliui', '6.0.0')
('go:github.com/weaveworks/common', '0.0.0-20230728070032-dd9e68f319d5')
('go:github.com/hashicorp/go-msgpack', '0.5.5')
('go:github.com/yuin/gopher-lua', '1.1.1')
('npm:find-up', '4.1.0')
('npm:set-blocking', '2.0.0')
('go:github.com/sercand/kuberesolver/v4', '4.0.0')
('go:cloud.google.com/go/auth/oauth2adapt', '0.2.2')
('go:github.com/redis/rueidis', '1.0.14-go1.18')
('go:github.com/aws/aws-sdk-go-v2/service/sso', '1.11.23')
('go:github.com/aws/aws-sdk-go-v2/config', '1.15.1')
('actions:docker/setup-buildx-action', '3.*.*')
('go:go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc', '1.28.0')
('go:github.com/grpc-ecosystem/go-grpc-middleware', '1.4.0')
('npm:jsonfile', '6.1.0')
('npm:browserslist', '4.16.6')
('go:golang.org/x/crypto', '0.25.0')
('go:golang.org/x/sys', '0.22.0')
('go:github.com/google/go-cmp', '0.6.0')
('go:k8s.io/client-go', '0.29.3')
('go:github.com/sirupsen/logrus', '1.9.3')
('go:github.com/prometheus/alertmanager', '0.27.0')
('go:github.com/alicebob/miniredis/v2', '2.32.1')
('npm:wrap-ansi', '6.2.0')
('go:go.opentelemetry.io/contrib/propagators/autoprop', '0.38.0')
('go:github.com/gogo/protobuf', '1.3.2')
('go:google.golang.org/genproto/googleapis/api', '0.0.0-20240701130421-f6361c86f094')
('go:github.com/davecgh/go-spew', '1.1.2-0.20180830191138-d8f796af33cc')
('go:github.com/go-openapi/spec', '0.21.0')
('actions:actions/setup-go', '2.*.*')
('npm:source-map-js', '1.0.2')
('npm:parse-json', '4.0.0')
('npm:which-module', '2.0.0')
('go:go.opentelemetry.io/otel/trace', '1.28.0')
('go:github.com/hashicorp/serf', '0.10.1')
('go:github.com/rs/cors', '1.11.0')
('go:cloud.google.com/go/storage', '1.40.0')
('go:github.com/go-openapi/analysis', '0.23.0')
('npm:to-regex-range', '5.0.1')
('npm:strip-ansi', '6.0.1')
('npm:locate-path', '5.0.0')
('go:github.com/spf13/afero', '1.11.0')
('go:gopkg.in/yaml.v2', '2.4.0')
('go:github.com/efficientgo/tools/extkingpin', '0.0.0-20220817170617-6c25e3b627dd')
('go:go.opentelemetry.io/contrib/propagators/aws', '1.28.0')
('npm:queue-microtask', '1.2.3')
('npm:require-directory', '2.1.1')
('go:github.com/google/btree', '1.1.2')
('npm:esprima', '4.0.1')
('go:go.opentelemetry.io/otel/bridge/opentracing', '1.28.0')
('npm:callsites', '2.0.0')
('go:github.com/go-openapi/loads', '0.22.0')
('go:github.com/soheilhy/cmux', '0.1.5')
