('rust:rustls-pemfile', '2.1.2')
('rust:parking', '2.2.0')
('actions:akhilerm/tag-push-action', '2.1.0')
('rust:walkdir', '2.5.0')
('npm:js-base64', '2.6.4')
('rust:windows-tokens', '0.39.0')
('rust:pnet_macros_support', '0.34.0')
('rust:nix', '0.25.1')
('rust:windows-targets', '0.42.2')
('rubygems:bcrypt_pbkdf', '1.1.0')
('rubygems:aws-sdk-core', '3.138.0')
('rust:filetime', '0.2.23')
('npm:ts-node', '10.9.2')
('rust:proc-macro-error-attr', '1.0.4')
('rust:digest', '0.10.7')
('npm:buffer', '6.0.3')
('npm:psl', '1.9.0')
('npm:kind-of', '6.0.3')
('rust:tower-service', '0.3.2')
('npm:esbuild-linux-riscv64', '0.15.18')
('rust:quick-xml', '0.30.0')
('rust:equivalent', '1.0.1')
('rust:aes', '0.7.5')
('rust:memchr', '2.7.2')
('npm:strip-ansi', '6.0.1')
('rust:cocoa-foundation', '0.1.2')
('npm:estraverse', '5.3.0')
('rust:pnet_macros', '0.34.0')
('rust:opaque-debug', '0.3.1')
('rust:generator', '0.7.5')
('rust:mac-notification-sys', '0.6.1')
('rubygems:iostruct', '0.0.4')
('rust:wait-timeout', '0.2.0')
('npm:buffer', '5.7.1')
('actions:actions/cache/save', '4.*.*')
('rubygems:minitar', '0.9')
('npm:base64-js', '1.5.1')
('rust:tonic', '0.11.0')
('rust:cssparser', '0.27.2')
('rust:git-version-macro', '0.3.9')
('npm:queue-tick', '1.0.1')
('rubygems:tty-screen', '0.8.1')
('rust:windows_x86_64_gnu', '0.42.2')
('rust:ndk', '0.6.0')
('rust:native-dialog', '>= 0.7.0,< 0.8.0')
('rust:windows', '0.48.0')
('rust:serde', '1.0.203')
('rust:netlink-packet-route', '>= 0.19.0,< 0.20.0')
('rust:libloading', '0.8.3')
('rust:windows-implement', '0.39.0')
('rust:axum', '>= 0.7.5,< 0.8.0')
('npm:type-fest', '0.6.0')
('npm:minipass-pipeline', '1.2.4')
('rust:no-std-net', '0.6.0')
('npm:json-parse-even-better-errors', '2.3.1')
('rust:slab', '0.4.9')
('rust:async-task', '4.7.0')
('npm:extsprintf', '1.4.1')
('rust:once_cell', '>= 1.17.1,< 2.0.0')
('rust:cesu8', '1.1.0')
('rust:futures-task', '0.3.30')
('npm:@tsconfig/node10', '1.0.11')
('rust:windows_x86_64_gnullvm', '0.42.2')
('rubygems:libyajl2', '2.1.0')
('npm:esbuild-openbsd-64', '0.15.18')
('rust:chacha20', '0.9.1')
('rust:vswhom-sys', '0.1.2')
('rust:regex-syntax', '0.8.3')
('rubygems:mixlib-log', '3.0.9')
('rust:tokio', '1.38.0')
('rust:memoffset', '0.9.1')
('actions:gradle/actions/setup-gradle', '3.*.*')
('npm:universalify', '2.0.1')
('rust:num-conv', '0.1.0')
('rubygems:plist', '3.6.0')
('npm:import-fresh', '3.3.0')
('rust:windows_aarch64_msvc', '0.39.0')
('rust:futures-lite', '1.13.0')
('rust:embed-resource', '2.4.2')
('rust:thread_local', '1.1.8')
('rubygems:chef', '17.10.0')
('rust:ndk-sys', '0.3.0')
('actions:docker/build-push-action', '4')
('npm:@tsconfig/node16', '1.0.4')
('npm:path-parse', '1.0.7')
('rust:rand_core', '0.5.1')
('rust:tracing', '>= 0.1.0,< 0.2.0')
('npm:ssri', '8.0.1')
('rust:foreign-types-shared', '0.1.1')
('rust:objc-foundation', '0.1.1')
('rust:derivative', '>= 2.2.0,< 3.0.0')
('npm:esbuild-windows-64', '0.15.18')
('rubygems:rexml', '3.2.5')
('npm:once', '1.4.0')
('rust:netlink-packet-utils', '0.5.2')
('rust:ring', '0.17.8')
('rust:chacha20poly1305', '0.10.1')
('rust:curve25519-dalek', '4.1.3')
('rubygems:semverse', '3.0.2')
('rust:byteorder', '1.5.0')
('npm:scss-tokenizer', '0.4.3')
('npm:chalk', '2.4.2')
('rust:redis-macros-derive', '0.3.0')
('npm:spdx-license-ids', '3.0.12')
('rust:windows-targets', '0.48.5')
('rust:xattr', '1.3.1')
('rust:clap_lex', '0.7.0')
('rust:dirs-sys', '0.4.1')
('actions:reactivecircus/android-emulator-runner', '2.*.*')
('rust:num-bigint', '0.4.4')
('rust:cfg-expr', '0.9.1')
('rust:futures-executor', '0.3.30')
('rust:tracing-panic', '0.1.2')
('rust:c2rust-bitfields', '0.18.0')
('npm:minipass', '3.3.6')
('npm:esbuild-linux-s390x', '0.15.18')
('actions:actions/cache/restore', '4.*.*')
('rubygems:erubis', '2.7.0')
('npm:esutils', '2.0.3')
('rubygems:chef-vault', '4.1.10')
