('npm:mime', '2.6.0')
('npm:restore-cursor', '3.1.0')
('npm:@smithy/types', '2.4.0')
('npm:eslint-plugin-promise', '6.1.1')
('npm:@hapi/bounce', '3.0.1')
('npm:to-regex-range', '5.0.1')
('npm:onetime', '5.1.2')
('npm:arrify', '3.0.0')
('npm:to-fast-properties', '2.0.0')
('npm:redent', '3.0.0')
('npm:react-is', '18.2.0')
('npm:require-directory', '2.1.1')
('npm:json-parse-even-better-errors', '3.0.0')
('npm:@octokit/plugin-enterprise-rest', '6.0.1')
('npm:@octokit/core', '4.2.4')
('npm:clean-stack', '2.2.0')
('npm:defaults', '1.0.4')
('npm:@smithy/util-waiter', '2.0.12')
('npm:read-package-json-fast', '3.0.2')
('npm:lodash.zip', '4.2.0')
('npm:throat', '5.0.0')
('npm:run-parallel', '1.2.0')
('npm:@types/normalize-package-data', '2.4.1')
('npm:tmp', '0.2.1')
('npm:write-file-atomic', '3.0.3')
('npm:byte-size', '8.1.1')
('npm:@jridgewell/gen-mapping', '0.3.2')
('npm:universal-user-agent', '6.0.1')
('npm:esquery', '1.4.0')
('npm:xml2js', '0.5.0')
('npm:array.prototype.flat', '1.3.0')
('npm:json-schema-traverse', '0.4.1')
('npm:nx', '16.10.0')
('npm:eslint-plugin-react', '7.28.0')
('npm:stack-utils', '2.0.5')
('npm:cli-width', '3.0.0')
('npm:rimraf', '3.0.2')
('npm:@smithy/util-body-length-node', '2.1.0')
('npm:chalk', '5.3.0')
('npm:jmespath', '0.16.0')
('npm:pkg-dir', '5.0.0')
('npm:JSONStream', '1.3.5')
('npm:string.prototype.matchall', '4.0.7')
('npm:has-bigints', '1.0.2')
('npm:array-ify', '1.0.0')
('npm:@smithy/util-uri-escape', '2.0.0')
('npm:@nodelib/fs.stat', '2.0.5')
('npm:optionator', '0.9.1')
('npm:fast-xml-parser', '4.3.2')
('npm:cacache', '16.1.3')
('npm:luxon', '3.4.3')
('npm:clean-stack', '4.2.0')
('npm:gitconfiglocal', '1.0.0')
('npm:serverless-offline-sqs', '^ 2.0.3')
('npm:aws-sdk', '^ 2.1234.0')
('npm:@octokit/auth-token', '3.0.4')
('npm:globalthis', '1.0.3')
('npm:normalize-package-data', '5.0.0')
('npm:@hapi/boom', '10.0.1')
('npm:@nx/nx-darwin-arm64', '16.10.0')
('npm:log-node', '8.0.3')
('npm:commander', '2.20.3')
('npm:@sigstore/bundle', '1.1.0')
('npm:is-weakref', '1.0.2')
('npm:fromentries', '1.3.2')
('npm:typedarray', '0.0.6')
('npm:eslint-plugin-css-modules', '2.11.0')
('npm:get-intrinsic', '1.2.2')
('npm:arrify', '1.0.1')
('npm:eslint-import-resolver-node', '0.3.6')
('npm:mimic-response', '1.0.1')
('npm:es-abstract', '1.22.3')
('npm:lowercase-keys', '2.0.0')
('npm:decompress-unzip', '4.0.1')
('npm:is-regex', '1.1.4')
('npm:@gar/promisify', '1.1.3')
('npm:filenamify', '4.3.0')
('npm:ansi-styles', '6.2.1')
('npm:ajv', '6.12.6')
('npm:@kwsites/promise-deferred', '1.1.1')
('npm:read-pkg-up', '7.0.1')
('npm:@npmcli/promise-spawn', '6.0.2')
('npm:debug', '4.3.4')
('npm:get-stream', '5.2.0')
('npm:ext-name', '5.0.0')
('npm:@nodelib/fs.scandir', '2.1.5')
('npm:@hapi/podium', '5.0.1')
('npm:is-path-inside', '3.0.3')
('npm:delegates', '1.0.0')
('npm:@smithy/eventstream-serde-browser', '2.0.12')
('npm:@smithy/is-array-buffer', '2.0.0')
('npm:is-windows', '1.0.2')
('npm:seek-bzip', '1.0.6')
('npm:y18n', '4.0.3')
('npm:desm', '1.3.0')
('npm:yamljs', '0.3.0')
('npm:node-fetch', '2.7.0')
('npm:acorn-walk', '8.2.0')
('npm:json-stable-stringify-without-jsonify', '1.0.1')
('npm:gopd', '1.0.1')
('npm:@smithy/middleware-endpoint', '2.1.3')
('npm:punycode', '1.3.2')
('npm:validate-npm-package-name', '3.0.0')
('npm:path-scurry', '1.10.1')
('npm:@smithy/property-provider', '2.0.13')
('npm:jsx-ast-utils', '3.3.3')
('npm:@hapi/catbox-memory', '6.0.1')
('npm:prelude-ls', '1.2.1')
('npm:mimic-fn', '4.0.0')
('npm:git-up', '7.0.0')
('npm:pify', '3.0.0')
('npm:pkg-dir', '4.2.0')
('npm:@smithy/signature-v4', '2.0.12')
('npm:https-proxy-agent', '5.0.1')
('npm:@nx/nx-linux-arm64-musl', '16.10.0')
('npm:eslint-utils', '3.0.0')
('npm:brace-expansion', '1.1.11')
('npm:ms', '2.1.2')
('npm:fs.realpath', '1.0.0')
('npm:@babel/helper-module-imports', '7.18.6')
('npm:@aws-sdk/middleware-host-header', '3.433.0')
('npm:ansi-regex', '5.0.1')
('npm:is-text-path', '1.0.1')
('npm:err-code', '2.0.3')
('npm:@types/cacheable-request', '6.0.3')
('npm:unique-filename', '3.0.0')
('npm:eslint-plugin-json', '3.1.0')
('npm:sigstore', '1.9.0')
('npm:isomorphic-ws', '4.0.1')
('npm:is-negative-zero', '2.0.2')
('npm:signal-exit', '^ 3.0.2')
('npm:filelist', '1.0.4')
('npm:argparse', '1.0.10')
('npm:@zxing/text-encoding', '0.9.0')
('npm:path-exists', '3.0.0')
