('npm:execa', '0.8.0')
('npm:supports-preserve-symlinks-flag', '1.0.0')
('npm:vue-hot-reload-api', '2.3.4')
('npm:handle-thing', '2.0.1')
('npm:finalhandler', '1.1.2')
('npm:@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly', '7.24.7')
('npm:@testing-library/jest-dom', '6.4.6')
('npm:@swc/core-linux-arm64-musl', '1.6.3')
('npm:@babel/plugin-transform-template-literals', '7.18.9')
('nuget:Yarp.ReverseProxy', '2.0.1')
('npm:@types/q', '0.0.32')
('npm:es-module-lexer', '1.3.0')
('npm:convert-source-map', '1.9.0')
('npm:@npmcli/git', '5.0.7')
('npm:flatted', '3.3.1')
('npm:minimalistic-assert', '1.0.1')
('npm:statuses', '1.5.0')
('npm:commander', '8.3.0')
('npm:unicode-match-property-ecmascript', '2.0.0')
('npm:eslint-plugin-es', '4.1.0')
('npm:chokidar', '3.5.3')
('npm:esbuild', '0.21.3')
('npm:array-union', '2.1.0')
('npm:@babel/runtime', '7.20.6')
('npm:tapable', '2.2.1')
('npm:@rollup/pluginutils', '3.1.0')
('npm:terser-webpack-plugin', '5.3.10')
('npm:min-indent', '1.0.1')
('npm:void-elements', '2.0.1')
('npm:@webassemblyjs/helper-api-error', '1.11.1')
('npm:agent-base', '7.1.1')
('npm:semver', '5.7.1')
('npm:@esbuild/linux-s390x', '0.21.5')
('npm:qs', '6.5.3')
('npm:copy-webpack-plugin', '11.0.0')
('npm:eslint-utils', '2.1.0')
('npm:@types/qs', '6.9.7')
('npm:supports-color', '5.5.0')
('nuget:Duende.IdentityServer.EntityFramework', '6.3.7')
('npm:camel-case', '4.1.2')
('nuget:Microsoft.EntityFrameworkCore', '6.0.0')
('npm:has-flag', '4.0.0')
('npm:@babel/plugin-transform-literals', '7.24.7')
('npm:wrap-ansi', '3.0.1')
('npm:@babel/helper-function-name', '7.24.7')
('npm:lodash.defaultsdeep', '4.6.1')
('npm:colord', '2.9.3')
('npm:@vue/babel-sugar-inject-h', '1.4.0')
('nuget:Microsoft.Graph', '5.37.0')
('npm:nanoid', '3.3.4')
('npm:get-own-enumerable-property-symbols', '3.0.2')
('npm:dotenv', '10.0.0')
('npm:@types/connect', '3.4.38')
('npm:external-editor', '3.1.0')
('npm:colorette', '2.0.19')
('npm:js-yaml', '3.14.1')
('npm:es-get-iterator', '1.1.3')
('npm:regexpp', '3.2.0')
('npm:karma-source-map-support', '1.4.0')
('npm:is-inside-container', '1.0.0')
('npm:totalist', '1.1.0')
('npm:eslint-module-utils', '2.7.4')
('npm:postcss-normalize-string', '5.1.0')
('npm:doctrine', '3.0.0')
('nuget:Microsoft.Extensions.Configuration.Binder', '8.0.0')
('npm:@sigstore/protobuf-specs', '0.3.2')
('npm:proc-log', '3.0.0')
('npm:yallist', '2.1.2')
('nuget:ExcelDataReader', '3.6.0')
('npm:retry', '0.12.0')
('npm:@babel/helper-plugin-utils', '7.20.2')
('npm:node-gyp-build', '4.8.1')
('npm:rollup-plugin-terser', '7.0.2')
('npm:stackframe', '1.3.4')
('npm:loose-envify', '1.4.0')
('npm:ora', '5.4.1')
('npm:p-map', '4.0.0')
('npm:source-map', '0.8.0-beta.0')
('nuget:Microsoft.VisualStudio.Web.CodeGeneration.Design', '6.0.0')
('npm:portal-vue', '2.1.7')
('npm:read-pkg', '5.2.0')
('npm:@microsoft/signalr', '7.0.14')
('npm:postcss-discard-overridden', '5.1.0')
('npm:@babel/plugin-transform-unicode-escapes', '7.24.7')
('npm:delayed-stream', '1.0.0')
('npm:@babel/plugin-transform-spread', '7.24.7')
('npm:@babel/plugin-transform-for-of', '7.18.8')
('nuget:Microsoft.AspNetCore.Components.WebAssembly', '8.0.0')
('npm:@webassemblyjs/floating-point-hex-parser', '1.11.1')
('npm:@babel/plugin-transform-shorthand-properties', '7.24.7')
('npm:isobject', '3.0.1')
('npm:@babel/traverse', '7.24.7')
('npm:app-root-path', '3.1.0')
('npm:object-assign', '4.1.1')
('npm:postcss-minify-gradients', '5.1.1')
('npm:hosted-git-info', '7.0.2')
