('npm:isobject', '3.0.1')
('npm:jest-pnp-resolver', '1.2.2')
('npm:babel-preset-fbjs', '3.3.0')
('npm:css-vendor', '2.0.8')
('npm:object-assign', '4.1.1')
('npm:react-native-tab-view', '2.15.2')
('npm:chalk', '3.0.0')
('npm:@babel/helper-validator-identifier', '7.12.11')
('npm:nanomatch', '1.2.13')
('npm:p-locate', '5.0.0')
('npm:w3c-xmlserializer', '1.1.2')
('npm:merge-stream', '2.0.0')
('npm:vary', '1.1.2')
('npm:snapdragon', '0.8.2')
('npm:prebuild-install', '6.0.0')
('npm:absolute-path', '0.0.0')
('npm:has-unicode', '2.0.1')
('npm:@typescript-eslint/parser', '2.34.0')
('npm:react-native-languages', '3.0.2')
('npm:morgan', '1.10.0')
('npm:follow-redirects', '1.13.1')
('npm:string.prototype.matchall', '4.0.3')
('npm:redux', '4.0.5')
('npm:chardet', '0.4.2')
('npm:path-key', '3.1.1')
('npm:lodash.isplainobject', '4.0.6')
('npm:@jest/environment', '25.5.0')
