('maven:org.eclipse.neoscada.utils:org.eclipse.scada.utils', '0.4.0')
('maven:org.apache.camel.springboot:camel-amqp-starter', '3.21.0')
('maven:org.eclipse.kapua:kapua-device-api', '')
('maven:org.eclipse.kapua:kapua-job-engine-app-core', '2.1.0-SNAPSHOT')
('maven:com.puppycrawl.tools:checkstyle', '7.6.1')
('maven:io.cucumber:cucumber-junit', '6.11.0')
('maven:org.eclipse.kapua:kapua-account-internal', '2.1.0-SNAPSHOT')
('maven:info.cukes:cucumber-guice', '')
('maven:org.eclipse.persistence:org.eclipse.persistence.core', '')
('maven:org.eclipse.kapua:kapua-service-api', '')
('maven:org.eclipse.kapua:kapua-user-api', '2.1.0-SNAPSHOT')
('maven:org.apache.shiro:shiro-web', '')
('maven:javax.servlet:javax.servlet-api', '')
('maven:org.apache.activemq:apache-artemis', '2.31.2')
('maven:org.glassfish.hk2:hk2-utils', '2.6.1')
('maven:org.eclipse.kapua:kapua-transport-jms', '2.1.0-SNAPSHOT')
('maven:com.fasterxml.jackson.core:jackson-databind', '')
('maven:com.warrenstrange:googleauth', '')
('maven:com.fasterxml.jackson.module:jackson-module-jaxb-annotations', '2.15.2')
('maven:org.eclipse.kapua:kapua-device-management-asset-job', '')
('maven:org.eclipse.kapua:kapua-foreignkeys', '')
('maven:org.eclipse.kapua:kapua-device-management-all-api', '2.1.0-SNAPSHOT')
('maven:info.cukes:cucumber-java', '')
('maven:org.yaml:snakeyaml', '2.2')
('maven:javax.xml.bind:jaxb-api', '2.3.1')
('maven:org.eclipse.kapua:kapua-client-gateway-api', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-job-engine-app-web', '')
('maven:org.eclipse.kapua:kapua-device-management-packages-internal', '')
('maven:com.fasterxml.jackson.dataformat:jackson-dataformat-smile', '2.15.2')
('maven:org.eclipse.kapua:kapua-service-authentication', '2.1.0-SNAPSHOT')
('maven:io.dropwizard.metrics:metrics-core', '')
('maven:org.apache.logging.log4j:log4j-to-slf4j', '')
('maven:org.slf4j:jcl-over-slf4j', '1.7.33')
('maven:org.eclipse.kapua:kapua-device-management-packages-job', '')
('maven:commons-codec:commons-codec', '1.15')
('maven:commons-io:commons-io', '2.11.0')
('maven:org.eclipse.kapua:kapua-device-management-job-api', '2.1.0-SNAPSHOT')
('maven:org.eclipse.persistence:org.eclipse.persistence.extension', '2.7.12')
('maven:org.eclipse.kapua:kapua-job-api', '')
('maven:org.apache.karaf.tooling:karaf-maven-plugin', '')
('maven:org.eclipse.kapua:kapua-scheduler-api', '2.1.0-SNAPSHOT')
('maven:commons-configuration:commons-configuration', '')
('maven:org.apache.shiro:shiro-core', '1.12.0')
('maven:org.eclipse.kapua:kapua-device-registry-internal', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-simulator-kura', '2.1.0-SNAPSHOT')
('maven:org.glassfish.jersey.ext:jersey-entity-filtering', '2.38')
('maven:org.eclipse.kapua:kapua-service-client', '')
('maven:org.hibernate:hibernate-jpamodelgen', '')
('maven:org.codehaus.mojo:exec-maven-plugin', '1.6.0')
('maven:org.eclipse.kapua:kapua-plug-ins', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-device-management-keystore-job', '')
('maven:org.eclipse.kapua:kapua-system-internal', '')
('maven:com.spotify:docker-client', '')
('maven:org.eclipse.kapua:kapua-rest-api-resources', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-job-test', '')
('maven:io.netty:netty-codec-redis', '4.1.100')
('maven:org.eclipse.kapua:kapua-user-test-steps', '')
('maven:org.eclipse.kapua:kapua-job-engine-api', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-device-management-inventory-internal', '2.1.0-SNAPSHOT')
('maven:org.apache.shiro:shiro-core', '')
('maven:org.codehaus.mojo:buildnumber-maven-plugin', '3.0.0')
('maven:org.eclipse.kapua:kapua-console-module-api', '2.1.0-SNAPSHOT')
('maven:org.checkerframework:checker-qual', '3.15.0')
('maven:org.apache.karaf.tooling:karaf-maven-plugin', '4.4.2')
('maven:org.eclipse.kapua:kapua-device-management-packages-api', '')
('maven:javax.batch:javax.batch-api', '1.0.1')
('maven:org.eclipse.kapua:kapua-device-management-asset-api', '')
('maven:com.google.guava:guava', '')
('maven:com.google.code.gson:gson', '')
('maven:com.fasterxml.jackson.datatype:jackson-datatype-jsr310', '2.15.2')
('maven:org.eclipse.jetty:jetty-util-ajax', '9.4.53.v20231009')
('maven:org.reflections:reflections', '0.10.2')
('maven:ch.qos.logback:logback-classic', '1.2.13')
('maven:org.eclipse.kapua:kapua-device-management-command-api', '2.1.0-SNAPSHOT')
('maven:org.apache.httpcomponents:httpcore-nio', '4.4.15')
('maven:org.eclipse.kapua:kapua-user-internal', '2.1.0-SNAPSHOT')
('maven:org.glassfish.jersey.media:jersey-media-moxy', '2.38')
('maven:org.eclipse.jetty:jetty-io', '9.4.53.v20231009')
('maven:org.eclipse.kapua:kapua-device-management-command-job', '2.1.0-SNAPSHOT')
('maven:org.glassfish.jersey.media:jersey-media-json-jackson', '2.38')
('maven:org.eclipse.kapua:kapua-device-management-request-internal', '')
('maven:com.google.zxing:javase', '3.4.1')
('maven:org.eclipse.kapua:kapua-device-management-api', '')
('maven:org.eclipse.kapua:kapua-consumer-lifecycle', '2.1.0-SNAPSHOT')
('maven:javax.annotation:javax.annotation-api', '1.2')
('maven:org.eclipse.kapua:kapua-tag-test', '2.1.0-SNAPSHOT')
('maven:org.glassfish.hk2:guice-bridge', '2.6.1')
('maven:org.eclipse.jetty:jetty-jaas', '9.4.53.v20231009')
('maven:org.eclipse.kapua:kapua-console-module-authorization', '')
('maven:io.netty:netty-transport', '4.1.100')
('maven:org.glassfish.jersey.core:jersey-server', '')
('maven:org.codehaus.mojo:gwt-maven-plugin', '2.4.0')
('maven:org.eclipse.kapua:kapua-endpoint-test-steps', '2.1.0-SNAPSHOT')
('maven:org.apache.maven.plugins:maven-install-plugin', '2.5.2')
('maven:org.eclipse.kapua:kapua-transport-mqtt', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-transport-api', '')
('maven:org.jolokia:jolokia-jvm', '')
('maven:org.eclipse.kapua:kapua-stream-internal', '')
('maven:org.eclipse.persistence:org.eclipse.persistence.core', '2.7.12')
('maven:org.eclipse.kapua:kapua-consumer-telemetry-app', '')
('maven:org.apache.camel:camel-core', '')
('maven:org.apache.logging.log4j:log4j-api', '')
('maven:org.eclipse.persistence:org.eclipse.persistence.jpa.jpql', '')
('maven:org.apache.maven.plugins:maven-checkstyle-plugin', '')
('maven:org.sonatype.plugins:nexus-staging-maven-plugin', '')
('maven:io.cucumber:cucumber-core', '6.11.0')
('maven:org.eclipse.kapua:kapua-console-module-welcome', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-client-gateway-spi', '')
('maven:org.springframework:spring-jms', '')
('maven:org.apache.maven.plugins:maven-toolchains-plugin', '3.1.0')
('maven:org.eclipse.kapua:kapua-service-storable-api', '')
('maven:org.eclipse.kapua:kapua-service-elasticsearch-client-api', '')
('maven:org.eclipse.kapua:kapua-device-management-registry-internal', '2.1.0-SNAPSHOT')
