('npm:array-union', '2.1.0')
('npm:@types/lodash', '^ 4.14.136')
('npm:builtin-status-codes', '3.0.0')
('npm:nise', '1.5.3')
('npm:snyk-go-plugin', '1.14.2')
('npm:retry', '0.10.1')
('npm:snyk-nuget-plugin', '1.18.1')
('npm:ultron', '1.1.1')
('npm:@webassemblyjs/helper-buffer', '1.9.0')
('npm:semver', '5.7.1')
('npm:node-fetch', '2.6.0')
('npm:passport-strategy', '1.0.0')
('npm:glob-stream', '6.1.0')
('npm:is-ci', '2.0.0')
('npm:@types/tapable', '1.0.5')
('npm:capture-stack-trace', '1.0.1')
('npm:responselike', '1.0.2')
('npm:@ts-morph/common', '0.5.0')
('npm:shellwords', '0.1.1')
('npm:git-semver-tags', '2.0.3')
('npm:yargs-parser', '11.1.1')
('npm:has-flag', '4.0.0')
('npm:@nestjs/microservices', '^ 6.5.3')
('npm:@protobufjs/fetch', '1.1.0')
('npm:union-value', '1.0.1')
('npm:graphql-query-complexity', '^ 0.3.0')
('npm:ordered-read-streams', '1.0.1')
('npm:@types/passport-jwt', '^ 3.0.2')
('npm:bytebuffer', '5.0.1')
('npm:longest-streak', '2.0.4')
('npm:@sinonjs/commons', '1.8.0')
('npm:external-editor', '3.1.0')
('npm:fastify-plugin', '2.2.0')
('npm:ip-regex', '2.1.0')
('npm:js-yaml', '3.13.1')
('npm:currently-unhandled', '0.4.1')
('npm:is-regex', '1.0.4')
('npm:@types/cookies', '0.7.4')
('npm:ts-poet', '1.0.1')
('npm:modify-values', '1.0.1')
('npm:lodash.isstring', '4.0.1')
('npm:unherit', '1.1.3')
('npm:loose-envify', '1.4.0')
('npm:redis-commands', '1.5.0')
('npm:jest-diff', '26.2.0')
('npm:@lerna/link', '3.16.2')
('npm:p-map', '4.0.0')
('npm:graphql-query-complexity', '0.6.0')
('npm:snyk-sbt-plugin', '2.11.0')
('npm:read-pkg', '5.2.0')
('npm:is-stream', '2.0.0')
('npm:jest-resolve', '26.2.2')
('npm:ftp', '0.3.10')
('npm:@types/connect', '3.4.33')
('npm:@types/passport-strategy', '0.2.35')
('npm:delayed-stream', '1.0.0')
('npm:brorand', '1.1.0')
('npm:@graphql-tools/schema', '6.0.16')
('npm:lodash.clonedeep', '4.5.0')
('npm:terser', '4.7.0')
('npm:nestjs-typeorm-paginate', '^ 0.1.8')
('npm:isobject', '3.0.1')
('npm:jest-pnp-resolver', '1.2.2')
('npm:babel-preset-fbjs', '3.3.0')
('npm:passport', '0.4.1')
('npm:@nestcloud/http', '0.6.10-22')
('npm:object-assign', '4.1.1')
('npm:pg', '^ 7.12.1')
('npm:@types/passport-local', '^ 1.0.33')
('npm:lcov-parse', '1.0.0')
('npm:universalify', '1.0.0')
('npm:proto-list', '1.2.4')
('npm:remark-lint', '7.0.0')
('npm:config-chain', '1.1.12')
('npm:nanomatch', '1.2.13')
('npm:min-document', '2.19.0')
('npm:check-disk-space', '2.1.0')
('npm:ratelimiter', '3.4.1')
('npm:merge-stream', '2.0.0')
('npm:vary', '1.1.2')
('npm:remark-lint-no-blockquote-without-marker', '3.0.0')
('npm:@graphql-tools/utils', '6.0.16')
('npm:snapdragon', '0.8.2')
('npm:parse-json', '5.0.0')
('npm:strict-event-emitter-types', '1.2.0')
('npm:has-unicode', '2.0.1')
('npm:stream-browserify', '2.0.2')
('npm:pluralize', '8.0.0')
('npm:@lerna/package-graph', '3.16.0')
('npm:read-package-json', '2.1.0')
('npm:@types/js-yaml', '3.12.4')
('npm:decimal.js', '10.2.0')
('npm:prompts', '2.3.2')
('npm:inquirer', '6.5.2')
('npm:ajv', '6.12.3')
('npm:triple-beam', '1.3.0')
('npm:path-key', '3.1.1')
('npm:lodash.isplainobject', '4.0.6')
('npm:p-cancelable', '2.0.0')
('npm:co', '4.6.0')
('npm:apollo-datasource', '0.7.2')
('npm:@nestcloud/brakes', '0.7.5')
('npm:uglify-js', '^ 3.4.9')
('npm:json5', '1.0.1')
('npm:@nestjs/jwt', '7.1.0')
('npm:nullthrows', '1.1.1')
('npm:jest-changed-files', '26.2.0')
('npm:sinon', '7.5.0')
('npm:protocols', '1.4.7')
('npm:@lerna/bootstrap', '3.16.2')
('npm:is-obj', '2.0.0')
('npm:serve-static', '1.14.1')
('npm:is-data-descriptor', '0.1.4')
('npm:@nestjs/graphql', '7.6.0')
('npm:@lerna/symlink-binary', '3.16.2')
('npm:constants-browserify', '1.0.0')
('npm:err-code', '1.1.2')
('npm:inherits', '2.0.3')
('npm:fast-levenshtein', '2.0.6')
('npm:apollo-server-plugin-base', '0.9.1')
('npm:@kubernetes/client-node', '0.10.2')
('npm:body-parser', '1.19.0')
('npm:passport-github', '1.1.0')
