('npm:cli-table', '0.3.1')
('npm:assign-symbols', '1.0.0')
('maven:org.springframework.boot:spring-boot-starter-test', '')
('npm:signal-exit', '3.0.3')
('npm:babel-core', '7.0.0-bridge.0')
('npm:path-exists', '3.0.0')
('npm:vinyl-file', '2.0.0')
('npm:cli-truncate', '2.1.0')
('npm:execa', '1.0.0')
('npm:json-schema', '0.2.3')
('npm:color', '3.0.0')
('npm:hosted-git-info', '2.7.1')
('maven:org.hibernate:hibernate-core', '5.3.8.Final')
('npm:reusify', '1.0.4')
('npm:@types/normalize-package-data', '2.4.0')
('npm:path-parse', '1.0.6')
('npm:isbinaryfile', '4.0.6')
('npm:readdir-scoped-modules', '1.1.0')
('npm:is-core-module', '2.3.0')
('npm:husky', '4.3.8')
('npm:component-emitter', '1.3.0')
('npm:textextensions', '2.4.0')
('npm:@types/minimatch', '3.0.4')
('npm:sass', '1.32.8')
('npm:generator-jhipster', '7.0.1')
('npm:fecha', '2.3.3')
('npm:fastq', '1.11.0')
('npm:string_decoder', '1.1.1')
('maven:org.springframework.boot:spring-boot-configuration-processor', '')
('npm:globby', '8.0.2')
('npm:is-number', '3.0.0')
('npm:buffer', '4.9.2')
('npm:@angular/forms', '7.2.12')
('npm:humanize-ms', '1.2.1')
('npm:@types/mocha', '5.2.6')
('npm:npm-pick-manifest', '6.1.1')
('npm:find-up', '2.1.0')
('npm:resolve', '1.11.0')
('npm:indent-string', '4.0.0')
('npm:shebang-regex', '1.0.0')
('maven:org.hibernate.validator:hibernate-validator', '')
('npm:parse-conflict-json', '1.1.1')
('npm:ansi-styles', '3.2.1')
('npm:dashdash', '1.14.1')
('npm:cli-width', '2.2.1')
('npm:cache-base', '1.0.1')
('npm:safe-regex', '1.1.0')
('npm:merge2', '1.2.3')
('npm:macos-release', '1.1.0')
('npm:binaryextensions', '2.1.2')
('maven:org.jacoco:jacoco-maven-plugin', '0.8.3')
('maven:com.google.cloud.tools:jib-maven-plugin', '0.9.11')
('npm:has-ansi', '2.0.0')
('npm:pluralize', '7.0.0')
('npm:streamfilter', '3.0.0')
('npm:protractor', '5.4.2')
('npm:kuler', '1.0.1')
('npm:stack-trace', '0.0.10')
('npm:enabled', '2.0.0')
('maven:org.springframework.security:spring-security-test', '')
('npm:postcss-import', '14.0.1')
('npm:replace-ext', '1.0.1')
('maven:io.github.jhipster:jhipster-framework', '')
('npm:is-plain-obj', '2.1.0')
('npm:figures', '2.0.0')
('npm:trim-newlines', '2.0.0')
('npm:cloneable-readable', '1.1.2')
('npm:@vue/test-utils', '1.1.3')
('npm:concurrently', '6.0.0')
('npm:eslint-plugin-prettier', '3.3.1')
('npm:webpack-merge', '5.7.3')
('npm:supports-color', '7.2.0')
('npm:parse-cache-control', '1.0.1')
('npm:readable-stream', '2.3.6')
('npm:webpack-visualizer-plugin', '0.1.11')
('npm:is-regexp', '1.0.0')
('npm:clone-stats', '0.0.1')
('npm:postcss-url', '10.1.3')
('npm:union-value', '1.0.0')
('npm:extsprintf', '1.3.0')
