('npm:@redis/bloom', '1.2.0')
('npm:tslib', '2.0.3')
('npm:@babel/plugin-transform-modules-commonjs', '7.24.1')
('rust:quinn-udp', '0.5.2')
('npm:mvdan-sh', '0.10.1')
('npm:dayjs-plugin-utc', '0.1.2')
('rust:base64ct', '1.6.0')
('npm:setprototypeof', '1.2.0')
('npm:zustand', '4.5.2')
('npm:envinfo', '7.8.1')
('npm:markdown-table', '3.0.3')
('npm:eslint-plugin-jsx-a11y', '6.8.0')
('npm:stream-shift', '1.0.1')
('rust:derive_more', '0.99.18')
('npm:unist-util-visit-parents', '5.1.3')
('npm:aws-sign2', '0.7.0')
('rust:gimli', '0.28.1')
('rust:sentry-tower', '0.34.0')
('npm:puppeteer-extra', '3.3.6')
('npm:@esbuild/android-arm64', '0.18.20')
('rust:phf_shared', '0.11.2')
('npm:@aws-sdk/region-config-resolver', '3.433.0')
('npm:@esbuild/linux-mips64el', '0.18.20')
('rust:fnv', '1.0.7')
('npm:get-package-type', '0.1.0')
('npm:@storybook/manager', '7.0.5')
('npm:acorn-walk', '7.2.0')
('npm:@smithy/middleware-retry', '2.0.18')
('rust:http', '0.2.12')
('npm:puppeteer-extra-plugin-user-data-dir', '2.4.1')
('npm:@types/debug', '4.1.12')
('npm:micromark-util-decode-numeric-character-reference', '1.0.0')
('npm:babel-core', '7.0.0-bridge.0')
('npm:execa', '5.1.1')
('npm:redis-errors', '1.2.0')
('npm:@storybook/builder-manager', '7.0.5')
('npm:pg-pool', '3.6.2')
('npm:cli-truncate', '2.1.0')
('npm:execa', '1.0.0')
('rust:sharded-slab', '0.1.7')
('npm:babel-plugin-polyfill-regenerator', '0.4.1')
('npm:color', '3.0.0')
('npm:block-scripts', '0.3.4')
('npm:type-check', '0.4.0')
('rust:ppv-lite86', '0.2.17')
('npm:find-up', '3.0.0')
('npm:mime', '3.0.0')
('npm:is-arguments', '1.1.1')
('npm:file-type', '6.2.0')
('rust:libp2p-metrics', '0.14.1')
('rust:unicode-bidi', '0.3.15')
('npm:decompress-response', '6.0.0')
('npm:string_decoder', '1.1.1')
('npm:@radix-ui/react-use-callback-ref', '1.0.0')
('npm:@typescript-eslint/types', '5.62.0')
('npm:isomorphic-unfetch', '3.1.0')
('npm:@sideway/address', '4.1.3')
('npm:@local/hash-graph-client', '0.0.0-private')
('npm:lru-cache', '5.1.1')
('npm:@aws-sdk/client-sso-oidc', '3.592.0')
('npm:@opentelemetry/instrumentation', '0.34.0')
('rust:windows-targets', '0.52.6')
('rust:base64', '0.13.1')
('npm:lodash.curry', '4.1.1')
('npm:@babel/plugin-syntax-object-rest-spread', '7.8.3')
('npm:heap-js', '2.5.0')
('npm:is-plain-obj', '3.0.0')
('npm:@esbuild/linux-arm64', '0.19.12')
('npm:indent-string', '4.0.0')
('npm:cli-cursor', '3.1.0')
('npm:eslint-config-airbnb', '19.0.4')
('npm:unist-util-visit', '2.0.3')
('npm:minipass', '7.1.2')
('npm:ansi-styles', '3.2.1')
('npm:jszip', '3.10.1')
('npm:tinyspy', '3.0.0')
('npm:domhandler', '5.0.3')
('rust:tracing-subscriber', '0.3.18')
('npm:@aws-sdk/middleware-sdk-sts', '3.433.0')
('npm:simple-concat', '1.0.1')
('npm:flow-parser', '0.195.2')
('npm:@opentelemetry/otlp-transformer', '0.34.0')
('rust:http-body', '1.0.0')
('rust:libp2p-identity', '0.2.9')
('npm:use-sync-external-store', '1.2.0')
('npm:@glideapps/glide-data-grid', '6.0.3')
('rust:aws-smithy-types', '1.2.0')
('npm:common-path-prefix', '3.0.0')
('npm:@babel/plugin-transform-modules-amd', '7.24.1')
('npm:enabled', '2.0.0')
('npm:@sentry/utils', '7.116.0')
('npm:mri', '1.2.0')
('npm:date-fns', '2.30.0')
('npm:regexp-tree', '0.1.27')
('npm:glob', '10.4.5')
('rust:opentelemetry_sdk', '>= 0.23.0,< 0.24.0')
('rust:wasm-bindgen-backend', '0.2.92')
('npm:duplexer2', '0.1.4')
('npm:cookie', '0.4.2')
('npm:onnx-proto', '4.0.4')
('npm:@babel/plugin-transform-unicode-sets-regex', '7.24.1')
('npm:@whatwg-node/events', '0.1.1')
('npm:notistack', '2.0.5')
('npm:@whatwg-node/fetch', '0.9.14')
('npm:iso8601-duration', '1.3.0')
('npm:@babel/parser', '7.24.4')
('rust:wasm-bindgen-test', '>= 0.3.42,< 0.4.0')
('npm:graphql-config', '5.0.3')
('npm:postinstall-postinstall', '2.1.0')
('rust:proptest', '>= 1.5.0,< 2.0.0')
('rust:sentry', '>= 0.34.0,< 0.35.0')
('npm:stickyfill', '1.1.1')
('npm:react-laag', '2.0.5')
('npm:@playwright/test', '1.45.1')
('npm:react-dock', '0.2.4')
('npm:pgvector', '0.1.8')
('npm:d3-drag', '3.0.0')
('rust:cipher', '0.4.4')
('npm:micromark-util-types', '2.0.0')
('npm:@blockprotocol/service', '0.1.4')
('npm:@apps/hash-graph', '0.0.0-private')
('npm:tinyrainbow', '1.2.0')
('npm:define-properties', '1.2.1')
('npm:@radix-ui/react-slot', '1.0.1')
('rust:yansi', '0.5.1')
('npm:case-sensitive-paths-webpack-plugin', '2.4.0')
('npm:is-obj', '3.0.0')
('npm:sentence-case', '3.0.4')
('npm:@esbuild/win32-arm64', '0.19.12')
('actions:codecov/codecov-action', 'e28ff129e5465c2c0dcc6f003fc735cb6ae0c673')
('npm:detect-indent', '6.1.0')
('rust:tower-http', '0.5.2')
('npm:ansi-html-community', '0.0.8')
('npm:call-me-maybe', '1.0.2')
('npm:@fortawesome/free-solid-svg-icons', '6.0.0')
('npm:rrweb-cssom', '0.6.0')
('npm:postgres-range', '1.1.4')
('npm:esrecurse', '4.3.0')
('npm:jwa', '2.0.0')
('npm:@rollup/pluginutils', '5.1.0')
('npm:micromark-extension-gfm', '2.0.3')
('npm:jsonschema', '1.4.0')
('npm:eslint-scope', '7.2.2')
('npm:gzip-size', '6.0.0')
('npm:@types/node', '20.12.3')
('npm:punycode', '2.3.1')
('npm:postcss-modules-local-by-default', '4.0.0')
('npm:@smithy/util-buffer-from', '1.1.0')
('npm:chalk', '4.1.2')
('npm:is-reference', '3.0.0')
('npm:htmlparser2', '3.10.1')
('npm:human-id', '1.0.2')
('rust:sha2', '0.10.8')
('npm:fork-ts-checker-webpack-plugin', '7.2.13')
('npm:@eslint-community/eslint-utils', '4.4.0')
('rust:num-iter', '0.1.45')
('npm:acorn-import-assertions', '1.9.0')
('npm:@types/lodash', '4.14.188')
('npm:memoize-one', '5.2.1')
('npm:install', '0.13.0')
('npm:bl', '4.1.0')
('npm:which-boxed-primitive', '1.0.2')
('npm:cliui', '7.0.4')
('npm:decompress-tar', '4.1.1')
('npm:file-type', '3.9.0')
('npm:is-fullwidth-code-point', '3.0.0')
('npm:ws', '8.17.1')
('npm:@types/doctrine', '0.0.3')
('npm:d3-chord', '3.0.1')
('npm:space-separated-tokens', '2.0.1')
('npm:@blockprotocol/core', '0.1.2')
('npm:ext', '1.7.0')
('npm:clsx', '1.2.1')
('npm:@changesets/errors', '0.1.4')
('rust:mimalloc', '0.1.43')
('npm:htmlparser2', '8.0.2')
('npm:@storybook/docs-tools', '7.0.5')
('npm:@types/lodash.clonedeep', '4.5.7')
('npm:@dnd-kit/sortable', '7.0.2')
('rust:system-configuration', '0.5.1')
('npm:@eslint-community/regexpp', '4.10.0')
('npm:lint-staged', '15.2.7')
('rust:windows-sys', '0.52.0')
('npm:@graphql-codegen/introspection', '2.2.3')
('npm:micromark-util-character', '1.1.0')
('npm:@types/npmlog', '4.1.4')
('npm:classnames', '2.3.2')
('npm:through2', '4.0.2')
('npm:@rollup/plugin-typescript', '11.1.6')
('npm:http-terminator', '3.0.3')
('npm:@emotion/cache', '11.11.0')
('npm:character-entities', '1.2.4')
('npm:p-cancelable', '2.1.1')
('npm:minimatch', '5.1.0')
('npm:tar-stream', '1.6.2')
('npm:string-width-cjs', '4.2.3')
('npm:@graphql-tools/schema', '10.0.0')
('npm:dataloader', '2.2.2')
('npm:@esbuild/linux-ppc64', '0.18.20')
('npm:loglevel', '1.8.0')
('npm:zwitch', '2.0.2')
('npm:micromark-util-encode', '1.0.1')
('npm:@babel/plugin-transform-computed-properties', '7.24.1')
('npm:@sentry/replay', '7.116.0')
('rust:resolv-conf', '0.7.0')
('rust:loom', '0.5.6')
('rust:windows_x86_64_gnu', '0.52.6')
('npm:isexe', '3.1.1')
('npm:@storybook/addon-essentials', '7.0.5')
('npm:dotenv-flow', '3.2.0')
('npm:@babel/helper-annotate-as-pure', '7.22.5')
('npm:@aws-sdk/util-user-agent-browser', '3.577.0')
('npm:@smithy/middleware-serde', '2.3.0')
('npm:content-disposition', '0.5.4')
('npm:set-value', '4.1.0')
('npm:html', '1.0.0')
('rust:rw-stream-sink', '0.4.0')
('npm:@sinclair/typebox', '0.29.6')
('npm:@trysound/sax', '0.2.0')
('npm:next', '13.5.5')
('npm:minimatch', '10.0.1')
('rust:criterion-macro', '0.4.0')
('npm:axios', '0.26.0')
('npm:shallowequal', '1.1.0')
('npm:shimmer', '1.2.1')
('npm:node-abort-controller', '3.0.1')
('npm:which-collection', '1.0.1')
('npm:micromark-extension-gfm-table', '1.0.7')
('rust:arrayvec', '0.7.4')
('npm:source-map', '0.5.7')
('npm:@aws-crypto/sha256-js', '5.2.0')
('npm:@babel/helper-validator-identifier', '7.22.20')
('npm:es-set-tostringtag', '2.0.3')
('rust:sha1', '0.10.6')
('npm:eslint-import-resolver-node', '0.3.9')
('npm:whatwg-mimetype', '3.0.0')
('rust:virtue', '0.0.17')
('npm:get-port-please', '3.1.1')
('npm:basic-ftp', '5.0.5')
('rust:ciborium', '0.2.2')
('npm:lodash.sortby', '4.7.0')
('rust:async-lock', '3.4.0')
('npm:@repeaterjs/repeater', '3.0.4')
('npm:node-fetch-h2', '2.3.0')
('rust:sentry-backtrace', '0.34.0')
('npm:@apps/hash-graph-type-defs', '0.0.0-private')
('npm:p-filter', '2.1.0')
('npm:ajv', '^ 8.12.0')
('npm:find-yarn-workspace-root', '2.0.0')
('rust:prometheus-client-derive-encode', '0.4.2')
('npm:minizlib', '2.1.2')
('npm:unicode-properties', '1.4.1')
('npm:fsevents', '2.3.2')
('npm:@types/gtag.js', '0.0.12')
('npm:denque', '2.1.0')
('npm:prettier', '3.3.2')
('npm:readdirp', '3.6.0')
('npm:standard-as-callback', '2.1.0')
('npm:@babel/helper-string-parser', '7.23.4')
('npm:html-loader', '4.2.0')
('npm:babel-merge', '3.0.0')
('npm:colorette', '2.0.20')
('npm:js-yaml', '4.1.0')
('npm:@esbuild/linux-ia32', '0.17.19')
('npm:bytes', '3.1.0')
('npm:@babel/plugin-syntax-import-assertions', '7.24.1')
('npm:@esbuild/linux-s390x', '0.18.20')
('npm:pg-protocol', '1.6.1')
('npm:image-size', '1.0.1')
('npm:simple-update-notifier', '1.1.0')
('npm:@opentelemetry/instrumentation-graphql', '0.33')
('npm:@tsconfig/node12', '1.0.9')
('npm:@smithy/smithy-client', '3.1.1')
('npm:@types/json-schema', '7.0.15')
('npm:supports-preserve-symlinks-flag', '1.0.0')
('rust:rustc_version', '0.4.0')
('npm:handle-thing', '2.0.1')
