('npm:form-data', '4.0.0')
('npm:object.values', '1.1.7')
('rust:platforms', '3.4.0')
('npm:growl', '1.10.5')
('npm:@babel/helper-compilation-targets', '7.22.15')
('rust:sec1', '0.7.3')
('npm:@types/body-parser', '1.19.2')
('npm:which', '1.3.1')
('npm:write-file-atomic', '4.0.1')
('rust:memoffset', '0.9.1')
('rust:windows_aarch64_msvc', '0.39.0')
('npm:reselect', '4.1.8')
('npm:is-core-module', '2.8.0')
('npm:trough', '1.0.5')
('npm:@mui/styled-engine', '5.16.1')
('npm:map-or-similar', '1.5.0')
('npm:@cosmjs/socket', '0.32.3')
('npm:path-parse', '1.0.7')
('npm:@img/sharp-linuxmusl-arm64', '0.33.3')
('npm:@svgr/babel-plugin-transform-svg-component', '6.5.1')
('npm:protobufjs', '6.11.2')
('npm:@yarnpkg/parsers', '3.0.0-rc.46')
('npm:natural-compare', '1.4.0')
('rust:winapi-util', '0.1.5')
('npm:shiki', '0.10.1')
('rust:rand_jitter', '0.1.4')
('npm:chalk', '2.4.2')
('npm:@babel/plugin-transform-parameters', '7.24.1')
('npm:@tauri-apps/cli', '^ 1.0.5')
('npm:xml-name-validator', '3.0.0')
('rust:pkg-config', '0.3.27')
('npm:@nx/nx-linux-x64-gnu', '16.10.0')
('rust:untrusted', '0.7.1')
('npm:get-intrinsic', '1.2.4')
('npm:node-releases', '2.0.13')
('npm:@babel/plugin-proposal-object-rest-spread', '7.20.7')
('npm:dns-packet', '5.6.1')
('npm:axios', '^ 1.3.3')
('npm:path-dirname', '1.0.2')
('npm:file-entry-cache', '6.0.1')
('rust:curve25519-dalek-derive', '0.1.1')
('rust:openssl-sys', '0.9.91')
('npm:is-absolute-url', '3.0.3')
('rust:nym-sphinx', '0.1.0')
('npm:devtools', '7.16.0')
('npm:yargs-parser', '20.2.4')
('rust:arrayref', '0.3.7')
('rust:gloo-net', '0.5.0')
('npm:@vercel/ncc', '0.38.1')
('npm:@parcel/workers', '2.4.0')
('npm:jest-message-util', '28.1.3')
('rust:nym-credential-storage', '0.1.0')
('rust:webview2-com-sys', '0.19.0')
('npm:@svgr/babel-plugin-transform-react-native-svg', '6.5.1')
('npm:babel-plugin-apply-mdx-type-prop', '1.6.22')
('rust:hashbrown', '0.14.5')
('rust:hidapi', '1.5.0')
('rust:tendril', '0.4.3')
