('pip:jsonpatch', '1.33')
('pip:formencode', '2.0.1')
('pip:responses', '0.17.0')
('pip:openai', '1.30.1')
('pip:cohere', '4.57')
('pip:async-timeout', '4.0.3')
('pip:gevent', '1.1.0')
('rust:parking_lot', '0.12.2')
('pip:filelock', '3.12.2')
('pip:cryptography', '3.3.2')
('pip:dogpile-cache', '1.1.8')
('pip:cattrs', '22.2.0')
('pip:rq', '1.10.1')
('pip:protobuf', '4.25.3')
('pip:marshmallow', '3.20.1')
('pip:python-multipart', '0.0.9')
('pip:attrs', '21.4.0')
('pip:jaraco-functools', '4.0.0')
('pip:gevent', '21.8.0')
('pip:moto', '0.4.31')
('pip:elasticsearch7', '7.17.9')
('pip:zipp', '3.18.2')
('pip:jmespath', '0.10.0')
('pip:urllib3', '1.26.18')
('pip:sanic', '21.12.2')
('pip:types-pytz', '2024.1.0.20240417')
('pip:openai', '0.27.8')
('pip:jschema-to-python', '1.2.3')
('pip:virtualenv-clone', '0.5.7')
('pip:sqlalchemy', '2.0.30')
('pip:blessed', '1.20.0')
('pip:flask', '1.0.4')
('pip:dogpile-cache', '1.3.0')
('pip:channels', '3.0.5')
('pip:daphne', '4.1.0')
('pip:prompt-toolkit', '3.0.47')
('pip:importlib-metadata', '7.0.0')
('rust:pyo3-macros-backend', '0.21.2')
('pip:aws-xray-sdk', '2.12.1')
('pip:backports-zoneinfo', '0.2.1')
('pip:cryptography', '3.2.1')
('pip:cherrypy', '18.9.0')
('actions:github/codeql-action/init', '2.*.*')
('pip:frozenlist', '1.4.1')
('pip:uc-micro-py', '1.0.2')
('pip:waitress', '2.1.2')
('pip:pylibmc', '1.6.3')
('pip:urllib3', '2.1.0')
('pip:tokenizers', '0.15.2')
('pip:s3transfer', '0.8.2')
('pip:inflect', '6.0.5')
('pip:urllib3', '1.25.11')
('pip:pyyaml', '')
('pip:urllib3', '1.26.19')
('pip:routes', '2.5.1')
('pip:textual', '0.46.0')
('pip:fastapi', '0.111.0')
('pip:pynamodb', '6.0.0')
('pip:wrapt', '1.15.0')
('pip:soupsieve', '2.1')
('pip:docker', '5.0.3')
('pip:jinja2', '3.1.2')
('pip:pydantic', '2.8.2')
('pip:opentelemetry-instrumentation-wsgi', '0.19b0')
('pip:marshmallow', '3.21.2')
('pip:packaging', '23.0')
('pip:decorator', '4.4.2')
('pip:pyyaml', '6.0.1')
('pip:jaraco-text', '3.12.0')
('pip:jiter', '0.4.2')
('pip:packaging', '21.3')
('pip:psycopg', '3.1.18')
('pip:langchain-anthropic', '0.1.13')
('pip:annotated-types', '0.5.0')
('pip:amqp', '2.6.1')
('pip:requests-mock', '1.10.0')
('pip:itsdangerous', '2.1.2')
('pip:certifi', '2023.7.22')
('pip:aniso8601', '9.0.1')
('pip:arrow', '1.3.0')
('pip:opentelemetry-instrumentation-wsgi', '0.32b0')
('pip:flask-openapi3', '2.5.5')
('pip:protobuf', '3.19.0')
('rust:portable-atomic', '1.6.0')
('pip:dogpile-cache', '1.2.2')
('pip:jsonpatch', '1.32')
('pip:idna', '2.7')
('pip:contextlib2', '21.6.0')
('pip:httpx', '0.15.4')
('pip:anyio', '4.2.0')
('pip:starlette', '0.15.0')
('pip:pyperf', '')
('pip:graphql-relay', '3.1.5')
('pip:docker', '6.1.3')
('pip:cassandra-driver', '3.28.0')
('pip:protobuf', '>= 3')
('pip:uwsgi', '2.0.23')
('pip:twisted', '23.10.0')
('pip:urllib3', '2.2.1')
('pip:cfn-lint', '0.33.2')
('pip:aiosqlite', '0.17.0')
('pip:aws-sam-translator', '1.42.0')
('pip:pydantic', '1.10.13')
('pip:greenlet', '1.1.0')
('pip:psycopg', '3.0.18')
('pip:pytest', '8.2.0')
('pip:elasticsearch7', '7.13.4')
('pip:tornado', '4.5.3')
('pip:confluent-kafka', '2.3.0')
('pip:inflect', '7.0.0')
('pip:beautifulsoup4', '4.12.2')
('pip:tenacity', '8.2.3')
('pip:falcon', '3.0.1')
('actions:Kyle-Verhoog/upstream-issue-notifier', '0.1.3')
('actions:actions/setup-python', '5.*.*')
('pip:typing-extensions', '4.11.0')
('pip:aiofiles', '0.8.0')
('pip:pymysql', '1.1.0')
('pip:celery', '5.3.6')
('pip:starlette', '0.19.1')
('pip:httpcore', '1.0.5')
('pip:python-dotenv', '1.0.1')
('pip:pytest-django', '3.10.0')
('pip:django', '3.2.23')
('pip:markdown-it-py', '3.0.0')
('pip:uvloop', '0.19.0')
('pip:numpy', '1.26.2')
('pip:soupsieve', '1.9.6')
('pip:zipp', '3.19.1')
('actions:actions-rust-lang/setup-rust-toolchain', '1.*.*')
('actions:thollander/actions-comment-pull-request', '2.*.*')
('pip:psycopg2-binary', '2.8.6')
('pip:urllib3', '1.26.9')
('pip:pytest-asyncio', '0.21.0')
('pip:kombu', '5.3.4')
('pip:redis', '5.0.1')
('pip:pyrsistent', '0.20.0')
('actions:tibdex/backport', '2')
('pip:atomicwrites', '1.4.1')
('pip:pygments', '2.5.2')
('pip:urllib3', '2.2.2')
('pip:redis-py-cluster', '2.0.0')
('pip:psutil', '5.9.8')
('rust:windows_x86_64_gnu', '0.52.5')
('pip:pytest-cov', '4.0.0')
('pip:multipart', '0.2.4')
('pip:aiohttp', '3.8.4')
('pip:webtest', '3.0.0')
('pip:jsonpickle', '3.0.2')
('pip:aiosqlite', '0.19.0')
('pip:sanic-routing', '0.7.2')
('pip:pytest-asyncio', '0.23.7')
('pip:charset-normalizer', '3.0.1')
('pip:falcon', '3.1.3')
('pip:pony', '0.7.17')
('pip:backoff', '2.2.1')
('pip:opentelemetry-instrumentation-flask', '0.19b0')
('pip:pluggy', '1.0.0')
('pip:greenlet', '2.0.2')
('pip:graphql-core', '3.1.7')
('pip:vcrpy', '6.0.1')
('pip:cffi', '1.15.1')
('pip:gevent', '22.8.0')
('pip:pandas-stubs', '2.1.4.231218')
('pip:attrs', '')
('rust:scopeguard', '1.2.0')
('pip:importlib-metadata', '6.5.0')
('pip:daphne', '4.0.0')
('pip:autocommand', '2.2.2')
('pip:httpx-sse', '0.4.0')
('pip:stevedore', '5.1.0')
('pip:django', '3.2.24')
('pip:pandas-stubs', '2.0.3.230814')
('pip:h11', '0.9.0')
('pip:requests', '2.28.2')
('pip:datadog-lambda', '6.96.0')
('pip:jsonschema', '4.21.1')
('pip:importlib-resources', '6.1.1')
('pip:six', '>= 1.12.0')
('pip:tornado', '6.4')
('pip:zc-lockfile', '2.0')
('pip:pluggy', '1.5.0')
('pip:orjson', '3.10.6')
('com.github.DataDog/dd-trace-py', '')
('pip:elastic-transport', '8.11.0')
('pip:blinker', '1.7.0')
('pip:sqlalchemy', '2.0.22')
('pip:typing-extensions', '4.12.0')
('pip:httpcore', '0.12.3')
('rust:lock_api', '0.4.12')
('pip:six', '1.16.0')
('pip:httpcore', '1.0.2')
('rust:syn', '2.0.61')
('pip:boto', '2.49.0')
('pip:async-timeout', '3.0.1')
('pip:prompt-toolkit', '3.0.43')
('pip:datadog', '0.49.1')
('pip:peewee', '3.17.5')
('pip:requests', '2.28.1')
('pip:opentelemetry-util-http', '0.22b0')
('pip:pytz', '2022.7.1')
('pip:fsspec', '2024.6.0')
('rust:windows_x86_64_gnullvm', '0.52.5')
('pip:setuptools', '')
('pip:pandas-stubs', '1.2.0.62')
('pip:click', '8.1.3')
('pip:jsonpointer', '2.3')
('pip:opentelemetry-api', '1.15.0')
('actions:actions/download-artifact', '4.*.*')
('pip:jsondiff', '2.0.0')
('pip:oscrypto', '1.3.0')
('pip:scandir', '1.10.0')
('pip:plaster', '1.1.2')
('pip:vine', '1.3.0')
('pip:vcrpy', '4.2.1')
('pip:packaging', '24.0')
('pip:jinja2', '3.1.3')
('pip:pytest', '6.2.5')
('pip:elasticsearch1', '1.10.0')
('pip:httpx', '0.26.0')
('pip:langchain-openai', '0.1.7')
('pip:tomli', '1.2.3')
('pip:werkzeug', '1.0.1')
('pip:mako', '1.3.2')
('pip:logbook', '1.7.0.post0')
('pip:pluggy', '0.13.1')
('pip:types-pytz', '2023.3.1.1')
('pip:anyio', '3.6.2')
('pip:dataclasses', '0.8')
('pip:immutables', '0.19')
('pip:mysql-connector-python', '8.0.33')
('rust:unindent', '0.2.3')
('pip:pandas', '2.0.3')
('pip:asgiref', '3.7.2')
('pip:aiobotocore', '1.4.2')
('pip:beautifulsoup4', '4.9.3')
('pip:coverage', '7.4.1')
('pip:werkzeug', '0.16.1')
('pip:django-hosts', '5.2')
('pip:pastedeploy', '3.1.0')
('rust:heck', '0.4.1')
('pip:tornado', '6.3.1')
('pip:pandas-stubs', '2.2.2.240514')
('pip:pytest-benchmark', '3.4.1')
('pip:mock', '5.0.2')
('pip:backports-functools-lru-cache', '1.6.4')
('pip:huggingface-hub', '0.23.4')
('pip:pytest-mock', '3.12.0')
('pip:python-memcached', '1.59')
('pip:filelock', '3.15.1')
('pip:flask', '2.3.3')
('pip:jaraco-functools', '3.4.0')
('pip:soupsieve', '2.4.1')
('actions:vlaurin/action-ghcr-prune', '0a539594d122b915e71c59733a5b115bfaaf5d52')
('pip:bottle', '0.12.25')
('pip:zope-interface', '6.0')
('pip:portend', '3.0.0')
('pip:pytest', '8.0.0')
('rust:bitflags', '2.5.0')
('pip:celery', '5.0.5')
('pip:zope-interface', '6.1')
('pip:typer', '0.12.3')
('pip:click-didyoumean', '0.3.0')
('pip:linkify-it-py', '2.0.2')
('pip:aiomysql', '0.2.0')
('pip:django', '2.2.1')
('pip:boto3', '1.33.13')
('pip:urllib3', '2.0.7')
('rust:windows_i686_gnullvm', '0.52.5')
('pip:requests', '2.25.1')
('pip:openapi-schema-pydantic', '1.2.4')
('pip:opentelemetry-api', '1.25.0')
('pip:httpcore', '0.11.1')
('pip:starlette', '0.14.2')
('pip:urllib3', '1.25')
('pip:gevent', '23.9.1')
('pip:certifi', '2024.2.2')
('pip:opentelemetry-util-http', '0.37b0')
('pip:attrs', '22.2.0')
('pip:mock', '3.0.5')
('pip:googleapis-common-protos', '1.62.0')
