('npm:@babel/helper-string-parser', '7.24.1')
('npm:once', '1.4.0')
('npm:mini-css-extract-plugin', '2.7.6')
('npm:standard', '16.0.4')
('npm:natural-compare', '1.4.0')
('npm:@babel/helper-environment-visitor', '7.18.9')
('npm:universalify', '0.2.0')
('npm:string.prototype.matchall', '4.0.8')
('composer:guzzlehttp/guzzle', '>= 6.3,< 7.0')
('composer:twig/markdown-extra', '>= 3.4,< 4.0')
('npm:chalk', '2.4.2')
('npm:path-key', '2.0.1')
('npm:@babel/plugin-transform-numeric-separator', '7.24.1')
('npm:interpret', '2.2.0')
('npm:spdx-license-ids', '3.0.12')
('npm:eslint-visitor-keys', '2.1.0')
('npm:@babel/plugin-transform-parameters', '7.24.1')
('npm:is-number-object', '1.0.7')
('npm:xml-name-validator', '3.0.0')
('composer:ezimuel/ringphp', '1.2.2')
('composer:symfony/monolog-bridge', '5.4.40')
('npm:@babel/helper-remap-async-to-generator', '7.22.20')
('npm:desandro-matches-selector', '2.0.2')
('npm:combine-source-map', '0.8.0')
('composer:symfony/css-selector', '5.4.40')
('composer:symfony-cmf/routing', '>= 2.3,< 3.0')
('npm:rechoir', '0.8.0')
('npm:unique-string', '2.0.0')
('npm:side-channel', '1.0.4')
('npm:@babel/plugin-transform-classes', '7.24.1')
('npm:copy-anything', '2.0.3')
('npm:@babel/plugin-transform-class-properties', '7.24.1')
('npm:@babel/plugin-proposal-object-rest-spread', '7.20.7')
('actions:actions/cache/restore', '4.*.*')
('composer:promphp/prometheus_client_php', '2.10.0')
('npm:@types/json-schema', '7.0.11')
('npm:esutils', '2.0.3')
('composer:ext-dom', '>= 0')
('npm:file-entry-cache', '6.0.1')
('composer:composer/metadata-minifier', '1.0.0')
('composer:league/uri', '7.4.1')
('composer:promphp/prometheus_client_php', '>= 2.6,< 3.0')
('npm:@babel/helper-compilation-targets', '7.19.3')
('npm:@webpack-cli/info', '1.5.0')
('npm:simple-concat', '1.0.0')
('npm:check-types', '11.1.2')
('composer:symfony/event-dispatcher', '>= 5.4,< 6.0')
('npm:resolve-from', '4.0.0')
('npm:function-bind', '1.1.1')
('npm:imurmurhash', '0.1.4')
('npm:cssom', '0.3.8')
('actions:actions/checkout', '4.*.*')
('npm:path-browserify', '0.0.1')
('npm:path-exists', '4.0.0')
('npm:nanoid', '3.3.7')
('composer:symfony-cmf/routing', '2.3.4')
('npm:eslint-plugin-es', '3.0.1')
('npm:loader-utils', '1.4.2')
('npm:optionator', '0.8.3')
('npm:istanbul-lib-coverage', '3.2.2')
('npm:enquirer', '2.3.6')
('npm:tar-stream', '2.2.0')
('composer:sebastian/exporter', '4.0.6')
('npm:arg', '4.1.3')
('npm:resolve', '1.17.0')
('npm:@babel/plugin-transform-dotall-regex', '7.24.1')
('npm:is-callable', '1.2.7')
('npm:@babel/helper-validator-option', '7.18.6')
('composer:symfony/console', '5.4.40')
('npm:is-boolean-object', '1.1.2')
('npm:tslib', '2.4.0')
('composer:doctrine/lexer', '2.1.1')
('npm:@webpack-cli/configtest', '1.2.0')
('npm:ion-rangeslider', '2.3.1')
('npm:get-symbol-description', '1.0.0')
('npm:is-path-cwd', '2.2.0')
('npm:object.hasown', '1.1.2')
('npm:@fortawesome/fontawesome-free', '5.15.4')
('npm:buffer-from', '1.1.2')
('npm:hashcash-token', '1.0.0')
('npm:exit', '0.1.2')
('npm:picomatch', '2.3.1')
('npm:@babel/plugin-proposal-optional-chaining', '7.21.0')
('npm:md5.js', '1.3.5')
('npm:datatables.net-bs4', '1.13.3')
('npm:https-browserify', '1.0.0')
('npm:minimist', '1.2.6')
('npm:@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression', '7.18.6')
('npm:@babel/generator', '7.24.1')
('composer:sebastian/type', '3.2.1')
('npm:regenerate-unicode-properties', '10.1.1')
('composer:sebastian/comparator', '4.0.8')
('composer:elasticms/submission-bundle', '~> 5.18.0')
('npm:@babel/core', '7.19.3')
('npm:@babel/helper-validator-identifier', '7.19.1')
('npm:type-fest', '0.8.1')
('npm:type-fest', '0.3.1')
('npm:tsconfig-paths', '3.14.2')
('npm:is-typed-array', '1.1.10')
('npm:process', '0.11.10')
('npm:acorn-walk', '7.0.0')
('npm:@babel/helper-wrap-function', '7.20.5')
('npm:@babel/plugin-transform-property-literals', '7.24.1')
('npm:jsesc', '0.5.0')
('npm:@babel/plugin-transform-export-namespace-from', '7.24.1')
('npm:@types/prettier', '2.7.3')
('npm:is-binary-path', '2.1.0')
('composer:symfony/monolog-bundle', '>= 3.8,< 4.0')
('npm:xdg-basedir', '4.0.0')
('npm:get-stdin', '8.0.0')
('npm:resolve.exports', '1.1.1')
('npm:eslint-config-standard-jsx', '10.0.0')
('npm:reusify', '1.0.4')
('composer:doctrine/doctrine-bundle', '2.12.0')
('composer:masterminds/html5', '2.9.0')
('npm:glob-to-regexp', '0.4.1')
('npm:@babel/plugin-transform-arrow-functions', '7.24.1')
('npm:webpack-sources', '1.4.3')
('npm:asn1.js', '4.10.1')
('npm:jest-matcher-utils', '27.5.1')
('composer:symfony/var-exporter', '5.4.40')
('npm:@babel/types', '7.24.0')
('composer:symfony/html-sanitizer', '>= 6.2,< 7.0')
('npm:@babel/parser', '7.19.3')
('npm:find-up', '2.1.0')
('npm:table', '5.4.6')
('npm:shebang-regex', '1.0.0')
('npm:is-docker', '2.2.1')
('npm:source-list-map', '2.0.1')
('npm:@fontsource/mulish', '4.5.14')
('composer:sebastian/object-reflector', '2.0.4')
('composer:symfony/intl', '5.4.40')
('composer:mockery/mockery', '>= 0.9,< 0.10')
('npm:sisteransi', '1.0.5')
('composer:egulias/email-validator', '4.0.2')
('npm:@babel/plugin-syntax-typescript', '7.24.1')
('npm:@babel/plugin-transform-async-to-generator', '7.24.1')
('npm:emittery', '0.8.1')
('composer:elasticms/common-bundle', '1.2.0')
('npm:combined-stream', '1.0.8')
('npm:string.prototype.trimstart', '1.0.6')
('composer:twig/string-extra', '>= 3.4,< 4.0')
('npm:@types/parse-json', '4.0.0')
('npm:@jest/console', '27.5.1')
('composer:symfony/monolog-bundle', '3.10.0')
('npm:@babel/core', '7.21.0')
('npm:webpack', '5.91.0')
('npm:bfj', '7.0.2')
('npm:eslint-plugin-node', '11.1.0')
('npm:is-glob', '4.0.3')
('npm:schema-utils', '4.2.0')
('npm:@webassemblyjs/helper-wasm-section', '1.11.1')
