('npm:@babel/plugin-transform-modules-amd', '7.10.1')
('npm:react-select', '5.2.2')
('npm:tslib', '2.4.0')
('npm:esrecurse', '4.2.1')
('npm:@vue/compiler-core', '3.0.2')
('rubygems:jekyll-theme-modernist', '0.1.1')
('npm:is-plain-object', '3.0.0')
('npm:moment', '~ 2.29.1')
('npm:is-path-cwd', '2.2.0')
('npm:@chakra-ui/slider', '1.5.1')
('npm:buffer-from', '1.1.2')
('npm:exit', '0.1.2')
('npm:@types/d3-scale-chromatic', '1.2.0')
('npm:is-decimal', '1.0.4')
('npm:es6-iterator', '2.0.3')
('npm:@types/eslint-scope', '3.7.1')
('npm:md5.js', '1.3.5')
('npm:ts-bus', '2.3.1')
('npm:map-obj', '1.0.1')
('npm:babel-plugin-minify-simplify', '0.5.1')
('npm:@babel/preset-typescript', '7.9.0')
('npm:string.prototype.trimend', '1.0.2')
('npm:object-is', '1.1.5')
('npm:sane', '4.1.0')
('npm:babel-plugin-transform-simplify-comparison-operators', '6.9.4')
('npm:clone-deep', '2.0.2')
('npm:pretty-error', '2.1.2')
('npm:can-use-dom', '0.1.0')
('npm:@types/memoizee', '0.4.8')
('npm:@emotion/cache', '11.10.5')
('npm:@types/d3-path', '^ 2.0.0')
('npm:@types/yargs', '16.0.4')
('npm:@types/d3-ease', '1.0.10')
('npm:@babel/plugin-transform-computed-properties', '7.10.1')
('npm:@antv/component', '0.3.10')
('npm:app-root-dir', '1.0.2')
('npm:entities', '4.4.0')
('npm:reusify', '1.0.4')
('npm:@types/uglify-js', '3.11.0')
('npm:side-channel', '1.0.3')
('npm:fecha', '2.3.3')
('npm:webpack-sources', '1.4.3')
('npm:babel-jest', '25.5.1')
('npm:asn1.js', '4.10.1')
('npm:@jest/test-sequencer', '24.9.0')
('npm:is-window', '1.0.2')
('npm:@babel/plugin-proposal-nullish-coalescing-operator', '7.12.1')
('npm:neo-async', '2.6.1')
('npm:find-up', '2.1.0')
('npm:webpack', '4.43.0')
('npm:table', '5.4.6')
('npm:css-jss', '10.9.0')
('npm:babel-plugin-minify-type-constructors', '0.4.3')
('npm:jest', '27.1.0')
('rubygems:ffi', '1.13.1')
('npm:has-ansi', '2.0.0')
('npm:postcss', '7.0.21')
('npm:@babel/plugin-transform-modules-systemjs', '7.10.5')
('npm:jest-environment-node', '27.1.0')
('npm:jest-worker', '26.6.2')
('npm:@types/d3-selection', '^ 1.3.0')
('npm:polished', '3.6.7')
('npm:p-is-promise', '2.1.0')
('npm:combined-stream', '1.0.8')
('npm:@typescript-eslint/experimental-utils', '3.6.0')
('npm:d3-quadtree', '1.0.7')
('npm:@babel/plugin-transform-destructuring', '7.10.1')
('npm:postcss-modules-scope', '1.1.0')
