('composer:felixfbecker/language-server-protocol', '1.5.2')
('npm:brace-expansion', '1.1.11')
('composer:gettext/translator', '1.2.0')
('npm:@babel/plugin-syntax-numeric-separator', '7.10.4')
('npm:ms', '2.1.2')
('npm:fs.realpath', '1.0.0')
('composer:facile-it/php-openid-client', '0.3.5')
('npm:@esbuild/linux-arm64', '0.21.4')
('npm:core-js-pure', '3.37.1')
('composer:web-token/jwt-key-mgmt', '3.4.3')
('composer:sebastian/code-unit-reverse-lookup', '2.0.3')
('npm:update-browserslist-db', '1.0.11')
('composer:phpunit/phpunit', '9.6.20')
('npm:emoji-regex', '8.0.0')
('go:github.com/golang-jwt/jwt/v4', '4.5.0')
('npm:@babel/helper-environment-visitor', '7.24.7')
('actions:ministryofjustice/opg-github-actions/.github/actions/semver-tag', '3.0.6')
('npm:ansi-regex', '5.0.1')
('npm:jest-validate', '29.7.0')
('npm:aws4', '1.13.0')
('composer:mikey179/vfsstream', '1.6.11')
('composer:phrity/websocket', '1.7.3')
('composer:nikic/php-parser', '4.19.1')
('npm:caniuse-lite', '1.0.30001640')
('npm:@ampproject/remapping', '2.3.0')
('npm:dequal', '2.0.3')
('composer:dealerdirect/phpcodesniffer-composer-installer', '1.0.0')
('npm:babel-jest', '29.7.0')
('npm:human-signals', '2.1.0')
('npm:is-arrayish', '0.2.1')
('npm:lodash.merge', '4.6.2')
('npm:@types/tough-cookie', '4.0.5')
('composer:sebastian/object-enumerator', '5.0.0')
('npm:fill-range', '7.1.1')
('npm:emittery', '0.13.1')
('actions:aquasecurity/tfsec-sarif-action', '0.1.4')
('composer:web-token/jwt-core', '3.4.3')
('npm:@webassemblyjs/floating-point-hex-parser', '1.11.6')
('npm:babel-plugin-polyfill-regenerator', '0.6.2')
('npm:@babel/code-frame', '7.24.7')
('composer:amphp/http-server', '2.1.8')
('npm:@babel/plugin-syntax-logical-assignment-operators', '7.10.4')
('npm:string-width', '4.2.3')
('npm:jest-mock', '29.7.0')
('npm:buffer-from', '1.1.2')
('npm:@xtuc/ieee754', '1.2.0')
('npm:acorn', '8.10.0')
('npm:picocolors', '1.0.0')
('composer:behat/behat', '3.14.0')
('composer:sebastian/lines-of-code', '1.0.4')
('npm:exit', '0.1.2')
('npm:jest-docblock', '29.7.0')
('npm:picomatch', '2.3.1')
('npm:@babel/plugin-transform-parameters', '7.24.7')
('composer:vimeo/psalm', '5.24.0')
('composer:symfony/css-selector', '7.1.1')
('npm:glob-parent', '6.0.2')
('composer:composer/xdebug-handler', '3.0.5')
('composer:symfony/dependency-injection', '7.1.2')
('go:github.com/aws/aws-sdk-go-v2/credentials', '1.17.16')
('composer:mezzio/mezzio-flash', '1.8.0')
('actions:actions/cache', '0c45773b623bea8c8e75f6c82b208c3cf94ea4f9')
