('npm:@types/serve-static', '1.13.3')
('npm:find-up', '2.1.0')
('npm:table', '5.4.6')
('npm:cachedir', '2.3.0')
('npm:mongodb', '3.6.3')
('npm:@sentry/minimal', '5.26.0')
('npm:indent-string', '4.0.0')
('npm:shebang-regex', '1.0.0')
('npm:cli-cursor', '3.1.0')
('npm:ansi-styles', '3.2.1')
('npm:@types/minimatch', '3.0.3')
('npm:dashdash', '1.14.1')
('npm:mime-db', '1.44.0')
('npm:hosted-git-info', '2.8.8')
('npm:mongodb', '3.6.2')
('npm:define-properties', '1.1.3')
('npm:has-ansi', '2.0.0')
('npm:create-error-class', '3.0.2')
('npm:qs', '6.9.4')
('npm:fs-extra', '9.0.1')
('npm:eslint-config-airbnb-base', '14.1.0')
('npm:dom-walk', '0.1.2')
('npm:classnames', '^ 2.2.6')
('npm:is-plain-obj', '2.1.0')
('npm:log-update', '2.3.0')
('npm:mkdirp', '0.5.5')
('npm:debug', '4.1.1')
('npm:supports-color', '7.2.0')
('npm:object-keys', '1.1.1')
('npm:globals', '11.12.0')
('npm:@sinonjs/text-encoding', '0.7.1')
('npm:is-regexp', '1.0.0')
('npm:socket.io-client', '^ 2.3.0')
('npm:extsprintf', '1.3.0')
('npm:https-proxy-agent', '5.0.0')
('npm:@veriff/incontext-sdk', '^ 1.1.0')
('npm:cli-boxes', '2.2.0')
('npm:combined-stream', '1.0.8')
('npm:http-signature', '1.2.0')
('npm:mocha', '8.2.1')
('npm:@types/qs', '6.9.1')
('npm:@types/parse-json', '4.0.0')
('npm:archy', '1.0.0')
('npm:is-regex', '1.0.5')
('npm:which-pm-runs', '1.0.0')
('npm:ramda', '0.26.1')
('npm:http-proxy-middleware', '^ 1.0.3')
('npm:spdx-expression-parse', '3.0.1')
('npm:bcryptjs', '2.4.3')
('npm:progress', '2.0.3')
('npm:rxjs', '6.6.0')
('npm:parseuri', '0.0.6')
('npm:dedent', '0.7.0')
('npm:kareem', '2.3.2')
('npm:xml2js', '0.4.19')
('npm:jmespath', '0.15.0')
('npm:@types/node', '14.14.20')
('npm:lru_map', '0.3.3')
('npm:registry-auth-token', '3.4.0')
('npm:ansi-regex', '2.1.1')
('npm:stream-buffers', '3.0.2')
('npm:eslint-config-prettier', '6.11.0')
('npm:url', '0.10.3')
('npm:fast-decode-uri-component', '1.0.1')
('npm:path-type', '4.0.0')
('npm:string.prototype.trimend', '1.0.1')
('npm:string-width', '4.2.0')
('npm:caseless', '0.12.0')
('npm:supports-color', '7.1.0')
('npm:pify', '2.3.0')
('npm:just-extend', '4.1.0')
('npm:aws-sdk', '2.771.0')
('npm:xmlhttprequest-ssl', '1.5.5')
('npm:tweetnacl', '0.14.5')
('npm:eslint-config-prettier', '6.10.1')
('npm:react-load-script', '0.0.6')
('npm:callsites', '3.1.0')
('npm:mimic-fn', '1.2.0')
('npm:safer-buffer', '2.1.2')
('npm:jsbn', '0.1.1')
('npm:rc', '1.2.8')
('npm:ret', '0.2.2')
('npm:light-my-request', '3.8.0')
('npm:fsevents', '2.1.3')
('npm:array-includes', '3.1.1')
('npm:please-upgrade-node', '3.2.0')
('npm:eslint-config-airbnb-base', '14.2.0')
('npm:sax', '1.2.1')
('npm:flat-cache', '2.0.1')
('npm:@googlemaps/google-maps-services-js', '3.0.0')
('npm:is-fullwidth-code-point', '3.0.0')
('npm:pend', '1.2.0')
('npm:p-try', '1.0.0')
('npm:path-to-regexp', '4.0.5')
('npm:@sindresorhus/is', '0.14.0')
('npm:bluebird', '3.5.1')
('npm:boxen', '1.3.0')
('npm:mocha', '8.1.1')
('npm:isstream', '0.1.2')
('npm:@sentry/hub', '5.26.0')
('npm:yargs-unparser', '1.6.1')
('npm:chokidar', '3.3.0')
('npm:@sentry/utils', '5.26.0')
('npm:file-entry-cache', '5.0.1')
('npm:xdg-basedir', '3.0.0')
('npm:debug', '3.1.0')
('npm:url-parse-lax', '1.0.0')
('npm:semver-regex', '2.0.0')
('npm:ansi-align', '2.0.0')
('npm:precond', '0.2.3')
('npm:fill-range', '7.0.1')
('npm:error-ex', '1.3.2')
('npm:yargs', '13.3.2')
('npm:ignore-by-default', '1.0.1')
('npm:through2', '4.0.2')
('npm:is-glob', '4.0.1')
('npm:react-share', '^ 4.2.1')
('npm:nopt', '1.0.10')
('npm:node-environment-flags', '1.0.6')
('npm:dot-prop', '4.2.1')
('npm:fast-json-parse', '1.0.3')
('npm:readable-stream', '2.3.7')
('npm:micromatch', '4.0.2')
('npm:cross-spawn', '7.0.3')
('npm:util-deprecate', '1.0.2')
('npm:cypress', '6.0.1')
('actions:hashicorp/setup-terraform', '1')
('npm:exit-hook', '1.1.1')
('npm:@babel/helper-split-export-declaration', '7.11.0')
('npm:nanoid', '3.1.12')
('npm:which', '2.0.2')
('npm:should-type-adaptors', '1.1.0')
('npm:crypto-random-string', '2.0.0')
('npm:has', '1.0.3')
('npm:react-helmet-async', '1.0.6')
('npm:shallowequal', '1.1.0')
('npm:camelcase', '5.3.1')
('npm:y18n', '4.0.0')
('npm:har-validator', '5.1.3')
('npm:source-map', '0.5.7')
('npm:memory-pager', '1.5.0')
('npm:at-least-node', '1.0.0')
('npm:date-fns', '1.30.1')
('npm:yargs-unparser', '1.6.0')
('npm:socket.io-parser', '3.4.1')
('npm:tiny-lru', '7.0.6')
('npm:compare-versions', '3.6.0')
('npm:@babel/code-frame', '7.10.4')
('npm:prepend-http', '1.0.4')
('npm:glob', '7.1.6')
('npm:multimatch', '4.0.0')
('npm:object.entries', '1.1.2')
('npm:human-signals', '1.1.1')
('npm:should-util', '1.0.1')
('npm:ci-info', '1.6.0')
('npm:spdx-exceptions', '2.2.0')
('npm:commander', '4.1.1')
('npm:eslint', '6.8.0')
('npm:ajv', '6.12.4')
('npm:es6-promise', '4.2.8')
('npm:json-stringify-safe', '5.0.1')
('npm:term-size', '2.2.0')
('npm:mustache', '4.0.1')
('npm:sift', '7.0.1')
('npm:registry-url', '5.1.0')
('npm:pretty-quick', '3.1.0')
('npm:is-path-inside', '1.0.1')
('npm:semver-store', '0.3.0')
('npm:should', '13.2.3')
('npm:decompress-response', '3.3.0')
('npm:execa', '0.7.0')
('npm:dot-prop', '5.2.0')
