,Repo_id,URL,VAG,AWS,AZ,PUP,TF/OT,SS,PUL,BIC,DOCK,CHEF,GOOG,KUB,ANS,Validated files,IaC_tools
78,hmcts_tribunals-case-api,https://github.com/hmcts/tribunals-case-api,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
79,andryyy_mailcow-dockerized,https://github.com/andryyy/mailcow-dockerized,0,0,0,0,0,0,0,0,1,0,0,0,0,,DOCK
80,Solinea_goldstone-server,https://github.com/Solinea/goldstone-server,1,0,0,0,0,0,0,0,1,0,0,0,1,{'VAG': '/Users/mrobredo23/Solinea_goldstone-server/rpm_packaging/Vagrantfile'},"VAG, DOCK, ANS"
81,MTG_freesound,https://github.com/MTG/freesound,0,0,0,0,0,0,0,0,1,0,0,0,0,,DOCK
82,FightPandemics_FightPandemics,https://github.com/FightPandemics/FightPandemics,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
83,CaliOpen_Caliopen,https://github.com/CaliOpen/Caliopen,1,0,0,0,0,0,0,0,1,0,0,0,1,{'VAG': '/Users/mrobredo23/CaliOpen_Caliopen/devtools/Vagrantfile'},"VAG, DOCK, ANS"
84,creativesoftwarefdn_weaviate,https://github.com/creativesoftwarefdn/weaviate,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
85,eHealthAfrica_aether,https://github.com/eHealthAfrica/aether,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
86,ministryofjustice_opg-use-an-lpa,https://github.com/ministryofjustice/opg-use-an-lpa,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
87,appwrite_appwrite,https://github.com/appwrite/appwrite,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
88,harvard-lil_capstone,https://github.com/harvard-lil/capstone,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
89,EOL_eol_website,https://github.com/EOL/eol_website,0,0,0,0,0,0,0,0,0,0,0,0,0,,
90,nymtech_nym,https://github.com/nymtech/nym,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
91,bugsnag_bugsnag-js,https://github.com/bugsnag/bugsnag-js,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
92,astarte-platform_astarte,https://github.com/astarte-platform/astarte,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
93,remp2020_remp,https://github.com/remp2020/remp,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
94,CovenantSQL_CovenantSQL,https://github.com/CovenantSQL/CovenantSQL,0,0,0,0,0,0,0,0,1,0,0,0,0,,DOCK
95,jpetazzo_container.training,https://github.com/jpetazzo/container.training,1,0,0,0,0,0,0,0,1,0,0,1,0,{'VAG': '/Users/mrobredo23/jpetazzo_container.training/prepare-local/Vagrantfile'},"VAG, DOCK, KUB"
